"","LGA","Quarter","Rent_1_bedroom","Rent_2_bedroom","Rent_3_bedroom","Rent_4_bedroom"
"153","Gosford","Sep.08","160","245",300,"400"
"154","Hawkesbury","Sep.08","180","230",300,"380"
"155","Holroyd","Sep.08","215","302.5",350,"450"
"156","Hornsby","Sep.08","300","380",450,"575"
"157","Liverpool","Sep.08","165","250",345,"427.5"
"158","Penrith","Sep.08","160","220",295,"380"
"159","Pittwater","Sep.08","300","430",600,"780"
"160","Sutherland Shire","Sep.08","250","345",460,"595"
"161","Warringah","Sep.08","330","425",600,"817.5"
"162","Wollondilly","Sep.08","170","220",270,"377.5"
"163","Wyong","Sep.08","155","220",270,"342.5"
"164","Rest of GMR","Sep.08","160","242.5",295,"360"
"165","Cessnock","Sep.08","140","200",237.5,"320"
"166","Kiama","Sep.08","-","237.5",320,"370"
"167","Lake Macquarie","Sep.08","150","245",290,"380"
"168","Maitland","Sep.08","140","210",280,"330"
"169","Newcastle","Sep.08","175","270",320,"380"
"170","Port Stephens","Sep.08","150","200",265,"330"
"171","Shellharbour","Sep.08","147.5","220",300,"400"
"172","Wollongong","Sep.08","160","250",320,"380"
"173","Rest of NSW","Sep.08","135","180",245,"310"
"174","New South Wales","Sep.08","310","320",310,"400"
"175","GREATER SYDNEY","Dec.08","350","390",385,"500"
"176","Inner Ring","Dec.08","392.5","500",680,"950"
"177","Ashfield","Dec.08","290","350",490,"640"
"178","Botany Bay","Dec.08","295","400",525,"-"
"179","Lane Cove","Dec.08","325","410",590,"977.5"
"180","Leichhardt","Dec.08","350","525",640,"715"
"181","Marrickville","Dec.08","280","390",550,"755"
"182","Mosman","Dec.08","360","450",840,"2300"
"183","North Sydney","Dec.08","380","510",725,"1000"
"184","Randwick","Dec.08","370","450",630,"900"
"185","Sydney","Dec.08","420","570",727.5,"790"
"186","Waverley","Dec.08","400","530",800,"1325"
"187","Woollahra","Dec.08","395","550",900,"1400"
"188","Middle Ring","Dec.08","320","360",450,"630"
"189","Auburn","Dec.08","330","370",400,"450"
"190","Bankstown","Dec.08","205","310",370,"460"
"191","Burwood","Dec.08","280","400",500,"600"
"192","Canterbury","Dec.08","230","297.5",420,"520"
"193","Canada Bay","Dec.08","400","460",580,"700"
"194","Hunters Hill","Dec.08","-","400",585,"-"
"195","Hurstville","Dec.08","280","340",420,"580"
"196","Kogarah","Dec.08","272.5","360",450,"-"
"197","Ku-Ring-Gai","Dec.08","320","450",615,"900"
"198","Manly","Dec.08","400","530",750,"1295"
"199","Parramatta","Dec.08","270","340",400,"450"
"200","Rockdale","Dec.08","290","360",460,"520"
"201","Ryde","Dec.08","280","350",497.5,"650"
"202","Strathfield","Dec.08","330","400",480,"650"
"203","Willoughby","Dec.08","430","495",700,"950"
"204","Outer Ring","Dec.08","230","300",320,"450"
"205","The Hills Shire","Dec.08","227.5","362.5",430,"560"
"206","Blacktown","Dec.08","180","280",320,"440"
"207","Blue Mountains","Dec.08","170","240",280,"360"
"208","Camden","Dec.08","-","265",330,"420"
"209","Campbelltown","Dec.08","170","240",282.5,"380"
"210","Fairfield","Dec.08","190","240",330,"400"
"211","Gosford","Dec.08","180","245",310,"400"
"212","Hawkesbury","Dec.08","175","230",300,"352.5"
"213","Holroyd","Dec.08","220","320",360,"450"
"214","Hornsby","Dec.08","320","380",450,"600"
"215","Liverpool","Dec.08","195","250",345,"430"
"216","Penrith","Dec.08","180","230",295,"380"
"217","Pittwater","Dec.08","315","450",620,"850"
"218","Sutherland Shire","Dec.08","254.5","350",470,"600"
"219","Warringah","Dec.08","335","430",630,"800"
"220","Wollondilly","Dec.08","170","230",280,"380"
"221","Wyong","Dec.08","170","220",270,"342.5"
"222","Rest of GMR","Dec.08","160","250",300,"370"
"223","Cessnock","Dec.08","147.5","200",240,"310"
"224","Kiama","Dec.08","-","250",330,"380"
"225","Lake Macquarie","Dec.08","157.5","250",295,"380"
"226","Maitland","Dec.08","145","240",280,"350"
"227","Newcastle","Dec.08","170","270",320,"390"
"228","Port Stephens","Dec.08","175","220",270,"350"
"229","Shellharbour","Dec.08","160","230",300,"410"
"230","Wollongong","Dec.08","165","250",330,"420"
"231","Rest of NSW","Dec.08","140","190",250,"320"
"232","New South Wales","Dec.08","310","325",320,"400"
