"","LGA","Quarter","Rent_1_bedroom","Rent_2_bedroom","Rent_3_bedroom","Rent_4_bedroom"
"1052","Mosman","Sep.12","405","550",950,"1350"
"1053","North Sydney","Sep.12","450","600",850,"1300"
"1054","Randwick","Sep.12","430","550",750,"1100"
"1055","Sydney","Sep.12","500","675",850,"920"
"1056","Waverley","Sep.12","470","600",950,"1337.5"
"1057","Woollahra","Sep.12","450","630",995,"1500"
"1058","Middle Ring","Sep.12","390","430",545,"697.5"
"1059","Auburn","Sep.12","410","430",505,"610"
"1060","Bankstown","Sep.12","220","380",450,"550"
"1061","Burwood","Sep.12","350","465",590,"705"
"1062","Canterbury","Sep.12","280","350",500,"600"
"1063","Canada Bay","Sep.12","460","550",693,"850"
"1064","Hunters Hill","Sep.12","-","500",700,"1100"
"1065","Hurstville","Sep.12","300","400",515,"555"
"1066","Kogarah","Sep.12","370","430",527.5,"630"
"1067","Ku-Ring-Gai","Sep.12","450","585",700,"975"
"1068","Manly","Sep.12","460","610",897.5,"1275"
"1069","Parramatta","Sep.12","310","390",470,"600"
"1070","Rockdale","Sep.12","390","430",540,"680"
"1071","Ryde","Sep.12","350","430",590,"700"
"1072","Strathfield","Sep.12","372.5","450",590,"620"
"1073","Willoughby","Sep.12","480","570",795,"1200"
"1074","Outer Ring","Sep.12","285","359.5",400,"510"
"1075","The Hills Shire","Sep.12","350","477.5",520,"650"
"1076","Blacktown","Sep.12","245","340",385,"500"
"1077","Blue Mountains","Sep.12","210","290",350,"430"
"1078","Camden","Sep.12","250","350",420,"500"
"1079","Campbelltown","Sep.12","255","315",360,"440"
"1080","Fairfield","Sep.12","225","300",400,"480"
"1081","Gosford","Sep.12","220","300",380,"470"
"1082","Hawkesbury","Sep.12","200","300",370,"472.5"
"1083","Holroyd","Sep.12","260","370",440,"495"
"1084","Hornsby","Sep.12","365","450",540,"680"
"1085","Liverpool","Sep.12","250","310",410,"520"
"1086","Penrith","Sep.12","220","290",370,"480"
"1087","Pittwater","Sep.12","370","540",750,"925"
"1088","Sutherland Shire","Sep.12","320","420",560,"690"
"1089","Warringah","Sep.12","387.5","507.5",700,"960"
"1090","Wollondilly","Sep.12","-","290",372.5,"450"
"1091","Wyong","Sep.12","200","280",340,"420"
"1092","Rest of GMR","Sep.12","210","310",375,"450"
"1093","Cessnock","Sep.12","170","280",330,"420"
"1094","Kiama","Sep.12","-","340",395,"500"
"1095","Lake Macquarie","Sep.12","210","320",375,"470"
"1096","Maitland","Sep.12","185","300",350,"440"
"1097","Newcastle","Sep.12","238","350",401,"520"
"1098","Port Stephens","Sep.12","-","270",340,"430"
"1099","Shellharbour","Sep.12","197.5","277.5",370,"470"
"1100","Wollongong","Sep.12","215","310",400,"490"
"1101","Rest of NSW","Sep.12","175","235",300,"380"
"1102","New South Wales","Sep.12","380","390",380,"470"
"1103","GREATER SYDNEY","Dec.12","420","460",460,"580"
"1104","Inner Ring","Dec.12","470","600",800,"1000"
"1105","Ashfield","Dec.12","350","420",590,"750"
"1106","Botany Bay","Dec.12","450","550",650,"-"
"1107","Lane Cove","Dec.12","400","475",690,"-"
"1108","Leichhardt","Dec.12","450","600",790,"980"
"1109","Marrickville","Dec.12","350","470",680,"820"
"1110","Mosman","Dec.12","420","580",850,"1700"
"1111","North Sydney","Dec.12","450","600",830,"1150"
"1112","Randwick","Dec.12","450","550",750,"970"
"1113","Sydney","Dec.12","500","680",880,"940"
"1114","Waverley","Dec.12","500","650",950,"1350"
"1115","Woollahra","Dec.12","460","650",1050,"1887.5"
"1116","Middle Ring","Dec.12","390","430",550,"690"
"1117","Auburn","Dec.12","410","460",490,"550"
"1118","Bankstown","Dec.12","200","380",455,"550"
"1119","Burwood","Dec.12","350","462.5",600,"700"
"1120","Canterbury","Dec.12","280","350",490,"600"
"1121","Canada Bay","Dec.12","470","550",700,"800"
"1122","Hunters Hill","Dec.12","-","460",735,"990"
"1123","Hurstville","Dec.12","300","395",530,"650"
"1124","Kogarah","Dec.12","315","430",550,"680"
"1125","Ku-Ring-Gai","Dec.12","440","560",720,"1000"
"1126","Manly","Dec.12","477.5","640",900,"1400"
"1127","Parramatta","Dec.12","320","390",472.5,"550"
"1128","Rockdale","Dec.12","360","430",560,"650"
"1129","Ryde","Dec.12","345","420",580,"722.5"
"1130","Strathfield","Dec.12","380","450",570,"750"
"1131","Willoughby","Dec.12","485","570",850,"1100"
"1132","Outer Ring","Dec.12","280","360",400,"520"
"1133","The Hills Shire","Dec.12","305","460",512,"640"
"1134","Blacktown","Dec.12","250","345",390,"500"
"1135","Blue Mountains","Dec.12","220","295",360,"450"
"1136","Camden","Dec.12","250","360",415,"510"
"1137","Campbelltown","Dec.12","250","320",367.5,"440"
"1138","Fairfield","Dec.12","227.5","300",400,"470"
"1139","Gosford","Dec.12","230","315",380,"495"
"1140","Hawkesbury","Dec.12","245","300",380,"485"
"1141","Holroyd","Dec.12","265","370",435,"545"
"1142","Hornsby","Dec.12","370","450",550,"650"
"1143","Liverpool","Dec.12","250","317.5",420,"530"
"1144","Penrith","Dec.12","240","285",370,"480"
"1145","Pittwater","Dec.12","370","525",750,"990"
"1146","Sutherland Shire","Dec.12","320","420",560,"690"
"1147","Warringah","Dec.12","395","515",725,"950"
"1148","Wollondilly","Dec.12","-","290",370,"450"
"1149","Wyong","Dec.12","190","280",340,"430"
"1150","Rest of GMR","Dec.12","210","320",375,"450"
"1151","Cessnock","Dec.12","180","280",340,"420"
"1152","Kiama","Dec.12","-","350",425,"475"
"1153","Lake Macquarie","Dec.12","220","311",370,"480"
"1154","Maitland","Dec.12","200","285",350,"450"
"1155","Newcastle","Dec.12","220.5","350",405,"495"
"1156","Port Stephens","Dec.12","195","275",350,"420"
"1157","Shellharbour","Dec.12","215","280",370,"500"
"1158","Wollongong","Dec.12","210","320",390,"500"
"1159","Rest of NSW","Dec.12","170","235",300,"380"
"1160","New South Wales","Dec.12","380","390",390,"480"
"1161","GREATER SYDNEY","Mar.13","420","465",480,"600"
"1162","Inner Ring","Mar.13","470","600",800,"1150"
"1163","Ashfield","Mar.13","350","430",600,"730"
"1164","Botany Bay","Mar.13","480","550",650,"850"
"1165","Lane Cove","Mar.13","385","470",697.5,"1197.5"
"1166","Leichhardt","Mar.13","407.5","620",792.5,"1000"
"1167","Marrickville","Mar.13","380","490",677.5,"795"
"1168","Mosman","Mar.13","425","570",995,"2075"
"1169","North Sydney","Mar.13","460","600",840,"1300"
"1170","Randwick","Mar.13","450","550",767.5,"1050"
"1171","Sydney","Mar.13","500","680",880,"995"
"1172","Waverley","Mar.13","500","650",900,"1450"
"1173","Woollahra","Mar.13","460","650",1070,"1547.5"
"1174","Middle Ring","Mar.13","400","435",550,"720"
"1175","Auburn","Mar.13","410","420",490,"610"
"1176","Bankstown","Mar.13","248.38","380",452.5,"550"
"1177","Burwood","Mar.13","370","472.5",620,"700"
"1178","Canterbury","Mar.13","280","350",520,"600"
"1179","Canada Bay","Mar.13","470","550",700,"887.5"
"1180","Hunters Hill","Mar.13","-","505",795,"1250"
"1181","Hurstville","Mar.13","310","400",525,"620"
"1182","Kogarah","Mar.13","335","420",540,"700"
"1183","Ku-Ring-Gai","Mar.13","460","570",720,"1050"
"1184","Manly","Mar.13","500","650",950,"1295"
"1185","Parramatta","Mar.13","350","400",470,"580"
"1186","Rockdale","Mar.13","360","440",570,"700"
"1187","Ryde","Mar.13","350","430",580,"740"
"1188","Strathfield","Mar.13","380","450",560,"670"
"1189","Willoughby","Mar.13","485","585",760,"1180"
"1190","Outer Ring","Mar.13","282","365",400,"530"
"1191","The Hills Shire","Mar.13","320","482.5",520,"660"
"1192","Blacktown","Mar.13","240","345",390,"520"
"1193","Blue Mountains","Mar.13","230","295",360,"450"
"1194","Camden","Mar.13","-","380",410,"520"
"1195","Campbelltown","Mar.13","250","310",370,"462.5"
"1196","Fairfield","Mar.13","230","300",400,"480"
"1197","Gosford","Mar.13","240","320",390,"495"
"1198","Hawkesbury","Mar.13","-","320",380,"500"
"1199","Holroyd","Mar.13","270","370",445,"500"
"1200","Hornsby","Mar.13","367.5","450",550,"700"
"1201","Liverpool","Mar.13","250","320",430,"500"
"1202","Penrith","Mar.13","230","290",380,"460"
"1203","Pittwater","Mar.13","360","500",750,"950"
"1204","Sutherland Shire","Mar.13","322.5","420",580,"725"
"1205","Warringah","Mar.13","400","525",750,"1000"
"1206","Wollondilly","Mar.13","195","300",380,"480"
"1207","Wyong","Mar.13","195","280",340,"430"
"1208","Rest of GMR","Mar.13","215","320",380,"440"
"1209","Cessnock","Mar.13","190","280",320,"410"
"1210","Kiama","Mar.13","-","340",435,"470"
"1211","Lake Macquarie","Mar.13","210","320",375,"470"
"1212","Maitland","Mar.13","185","295",350,"422.5"
"1213","Newcastle","Mar.13","220","365",420,"450"
"1214","Port Stephens","Mar.13","185","280",350,"410"
"1215","Shellharbour","Mar.13","200","280",380,"470"
"1216","Wollongong","Mar.13","220","320",410,"500"
"1217","Rest of NSW","Mar.13","175","240",300,"385"
"1218","New South Wales","Mar.13","380","400",390,"480"
"1219","GREATER SYDNEY","Jun.13","430","460",460,"570"
"1220","Inner Ring","Jun.13","480","620",840,"1050"
"1221","Ashfield","Jun.13","360","440",600,"742.5"
"1222","Botany Bay","Jun.13","490","570",650,"915"
"1223","Lane Cove","Jun.13","430","480",680,"985"
"1224","Leichhardt","Jun.13","415","630",800,"850"
"1225","Marrickville","Jun.13","350","500",690,"875"
"1226","Mosman","Jun.13","422.5","590",1000,"1900"
"1227","North Sydney","Jun.13","460","630",890,"1250"
"1228","Randwick","Jun.13","457","560",800,"1125"
"1229","Sydney","Jun.13","510","690",895,"1000"
"1230","Waverley","Jun.13","492.5","650",950,"1425"
"1231","Woollahra","Jun.13","480","660",1100,"1550"
"1232","Middle Ring","Jun.13","400","440",550,"700"
"1233","Auburn","Jun.13","420","420",500,"535"
"1234","Bankstown","Jun.13","240","380",460,"580"
"1235","Burwood","Jun.13","360","495",630,"700"
"1236","Canterbury","Jun.13","295","355",500,"645"
"1237","Canada Bay","Jun.13","477.5","570",730,"855"
"1238","Hunters Hill","Jun.13","-","507.5",740,"1125"
"1239","Hurstville","Jun.13","330","410",520,"655"
"1240","Kogarah","Jun.13","375","440",550,"720"
"1241","Ku-Ring-Gai","Jun.13","472.5","582.5",750,"1000"
"1242","Manly","Jun.13","500","610",950,"1300"
"1243","Parramatta","Jun.13","337.5","400",470,"580"
"1244","Rockdale","Jun.13","395","450",580,"640"
"1245","Ryde","Jun.13","340","430",580,"727.5"
"1246","Strathfield","Jun.13","390","450",580,"680"
"1247","Willoughby","Jun.13","500","600",800,"1150"
"1248","Outer Ring","Jun.13","300","360",400,"520"
"1249","The Hills Shire","Jun.13","325","450",520,"650"
"1250","Blacktown","Jun.13","250","340",385,"500"
"1251","Blue Mountains","Jun.13","210","300",350,"450"
"1252","Camden","Jun.13","250","380",430,"510"
"1253","Campbelltown","Jun.13","270","320",370,"450"
"1254","Fairfield","Jun.13","230","310",400,"480"
"1255","Gosford","Jun.13","240","320",390,"495"
"1256","Hawkesbury","Jun.13","250","300",382.5,"480"
"1257","Holroyd","Jun.13","280","380",450,"550"
"1258","Hornsby","Jun.13","380","464",560,"695"
"1259","Liverpool","Jun.13","250","320",420,"500"
"1260","Penrith","Jun.13","215","300",380,"480"
"1261","Pittwater","Jun.13","370","525",745,"900"
"1262","Sutherland Shire","Jun.13","330","420",570,"700"
"1263","Warringah","Jun.13","400","520",750,"900"
"1264","Wollondilly","Jun.13","-","290",370,"485"
"1265","Wyong","Jun.13","205","290",350,"440"
"1266","Rest of GMR","Jun.13","210.5","320",380,"430"
"1267","Cessnock","Jun.13","172.5","272.5",320,"395"
"1268","Kiama","Jun.13","-","310",437.5,"490"
"1269","Lake Macquarie","Jun.13","220","320",370,"476"
"1270","Maitland","Jun.13","185","280",350,"410"
"1271","Newcastle","Jun.13","225","355",415,"470"
"1272","Port Stephens","Jun.13","200","280",350,"420"
"1273","Shellharbour","Jun.13","-","290",380,"480"
"1274","Wollongong","Jun.13","220","320",400,"500"
"1275","Rest of NSW","Jun.13","175","240",300,"380"
"1276","New South Wales","Jun.13","380","395",385,"460"
"1277","GREATER SYDNEY","Sep.13","425","480",480,"570"
"1278","Inner Ring","Sep.13","475","600",830,"1100"
"1279","Ashfield","Sep.13","350","430",605,"780"
"1280","Botany Bay","Sep.13","360","567.5",680,"-"
"1281","Lane Cove","Sep.13","425","480",710,"1125"
"1282","Leichhardt","Sep.13","440","630",850,"1100"
"1283","Marrickville","Sep.13","370","490",700,"800"
"1284","Mosman","Sep.13","440","597.5",895,"1800"
"1285","North Sydney","Sep.13","460","610",850,"1295"
"1286","Randwick","Sep.13","450","550",760,"1100"
"1287","Sydney","Sep.13","510","680",880,"930"
"1288","Waverley","Sep.13","480","635",925,"1475"
"1289","Woollahra","Sep.13","472.5","630",1000,"1750"
"1290","Middle Ring","Sep.13","400","450",550,"700"
"1291","Auburn","Sep.13","417.5","420",500,"600"
"1292","Bankstown","Sep.13","250","390",460,"560"
"1293","Burwood","Sep.13","460","550",650,"700"
"1294","Canterbury","Sep.13","300","370",520,"600"
"1295","Canada Bay","Sep.13","490","590",720,"900"
"1296","Hunters Hill","Sep.13","-","510",800,"-"
"1297","Hurstville","Sep.13","330","400",540,"665"
"1298","Kogarah","Sep.13","350","450",550,"675"
"1299","Ku-Ring-Gai","Sep.13","467.5","590",725,"1000"
"1300","Manly","Sep.13","480","650",920,"1395"
"1301","Parramatta","Sep.13","335","410",475,"572.5"
"1302","Rockdale","Sep.13","360","440",550,"650"
"1303","Ryde","Sep.13","360","430",620,"750"
"1304","Strathfield","Sep.13","385","470",540,"700"
"1305","Willoughby","Sep.13","490","595",845,"1200"
"1306","Outer Ring","Sep.13","280","370",400,"510"
"1307","The Hills Shire","Sep.13","350","490",530,"650"
"1308","Blacktown","Sep.13","247.5","350",390,"500"
"1309","Blue Mountains","Sep.13","235","300",370,"460"
"1310","Camden","Sep.13","277.5","370",420,"500"
"1311","Campbelltown","Sep.13","250","322.5",365,"450"
"1312","Fairfield","Sep.13","235","310",410,"500"
"1313","Gosford","Sep.13","230","320",390,"492.5"
"1314","Hawkesbury","Sep.13","220","312.5",380,"480"
"1315","Holroyd","Sep.13","270","390",450,"550"
"1316","Hornsby","Sep.13","357.5","460",570,"705"
"1317","Liverpool","Sep.13","245","320",420,"510"
"1318","Penrith","Sep.13","225","295",380,"470"
"1319","Pittwater","Sep.13","380","530",750,"900"
"1320","Sutherland Shire","Sep.13","320","430",580,"725"
"1321","Warringah","Sep.13","400","515",747.5,"975"
"1322","Wollondilly","Sep.13","-","270",370,"470"
"1323","Wyong","Sep.13","200","290",350,"440"
"1324","Rest of GMR","Sep.13","220","315",370,"430"
"1325","Cessnock","Sep.13","170","270",310,"380"
"1326","Kiama","Sep.13","-","345",420,"500"
"1327","Lake Macquarie","Sep.13","217.5","315",375,"470"
"1328","Maitland","Sep.13","185","280",340,"398"
"1329","Newcastle","Sep.13","212.5","350",400,"480"
"1330","Port Stephens","Sep.13","195","265",340,"420"
"1331","Shellharbour","Sep.13","-","290",380,"500"
"1332","Wollongong","Sep.13","230","320",400,"500"
"1333","Rest of NSW","Sep.13","175","240",300,"380"
"1334","New South Wales","Sep.13","385","400",390,"470"
"1335","GREATER SYDNEY","Dec.13","440","480",480,"600"
"1336","Inner Ring","Dec.13","490","625",830,"1150"
"1337","Ashfield","Dec.13","360","450",620,"800"
"1338","Botany Bay","Dec.13","465","530",660,"925"
"1339","Lane Cove","Dec.13","397.5","497.5",750,"1000"
"1340","Leichhardt","Dec.13","440","650",795,"1175"
"1341","Marrickville","Dec.13","360","510",740,"837.5"
"1342","Mosman","Dec.13","440","575",1075,"1650"
"1343","North Sydney","Dec.13","470","625",895,"1475"
"1344","Randwick","Dec.13","450","575",760,"1150"
"1345","Sydney","Dec.13","520","690",900,"1000"
"1346","Waverley","Dec.13","522.5","650",900,"1360"
"1347","Woollahra","Dec.13","495","650",1100,"1597.5"
"1348","Middle Ring","Dec.13","412.5","450",560,"740"
"1349","Auburn","Dec.13","420","430",500,"600"
"1350","Bankstown","Dec.13","245","395",470,"600"
"1351","Burwood","Dec.13","415","520",590,"800"
"1352","Canterbury","Dec.13","300","360",522.5,"630"
"1353","Canada Bay","Dec.13","480","580",720,"905"
"1354","Hunters Hill","Dec.13","-","550",825,"1225"
"1355","Hurstville","Dec.13","380","430",540,"650"
"1356","Kogarah","Dec.13","310","432.5",550,"720"
"1357","Ku-Ring-Gai","Dec.13","460","585",750,"1050"
"1358","Manly","Dec.13","500","675",977.5,"1500"
"1359","Parramatta","Dec.13","350","410",480,"600"
"1360","Rockdale","Dec.13","360","450",582.5,"687.5"
"1361","Ryde","Dec.13","360","440",620,"775"
"1362","Strathfield","Dec.13","380","462.5",550,"750"
"1363","Willoughby","Dec.13","500","600",792.5,"1200"
"1364","Outer Ring","Dec.13","290","370",410,"530"
"1365","The Hills Shire","Dec.13","420","490",550,"660"
"1366","Blacktown","Dec.13","240","350",400,"520"
"1367","Blue Mountains","Dec.13","250","320",380,"470"
"1368","Camden","Dec.13","250","375",420,"500"
"1369","Campbelltown","Dec.13","300","320",370,"460"
"1370","Fairfield","Dec.13","250","320",420,"480"
"1371","Gosford","Dec.13","230","330",390,"510"
"1372","Hawkesbury","Dec.13","217.5","300",400,"525"
"1373","Holroyd","Dec.13","280","380",460,"567.5"
"1374","Hornsby","Dec.13","360","470",560,"720"
"1375","Liverpool","Dec.13","250","335",430,"530"
"1376","Penrith","Dec.13","235","300",380,"480"
"1377","Pittwater","Dec.13","405","520",797.5,"1000"
"1378","Sutherland Shire","Dec.13","340","430",600,"727.5"
"1379","Warringah","Dec.13","410","550",775,"1020"
"1380","Wollondilly","Dec.13","-","320",380,"540"
"1381","Wyong","Dec.13","200","290",350,"440"
"1382","Rest of GMR","Dec.13","220","315",375,"430"
"1383","Cessnock","Dec.13","180","260",300,"370"
"1384","Kiama","Dec.13","-","350",435,"515"
"1385","Lake Macquarie","Dec.13","215","320",380,"470"
"1386","Maitland","Dec.13","190","270",330,"400"
"1387","Newcastle","Dec.13","230","360",410,"455"
"1388","Port Stephens","Dec.13","185","280",350,"425"
"1389","Shellharbour","Dec.13","-","292.5",380,"495"
"1390","Wollongong","Dec.13","220","320",405,"500"
"1391","Rest of NSW","Dec.13","175","240",300,"380"
"1392","New South Wales","Dec.13","395","400",395,"480"
"1393","GREATER SYDNEY","Mar.14","450","490",500,"600"
"1394","Inner Ring","Mar.14","500","630",850,"1200"
"1395","Ashfield","Mar.14","360","450",617.5,"900"
"1396","Botany Bay","Mar.14","500","600",690,"-"
"1397","Lane Cove","Mar.14","470","495",700,"1370"
"1398","Leichhardt","Mar.14","440","650",820,"1150"
"1399","Marrickville","Mar.14","380","500",712.5,"1000"
"1400","Mosman","Mar.14","450","625",1100,"2200"
"1401","North Sydney","Mar.14","480","630",870,"1175"
"1402","Randwick","Mar.14","460","580",800,"1120"
"1403","Sydney","Mar.14","530","700",900,"1000"
"1404","Waverley","Mar.14","500","670",950,"1300"
"1405","Woollahra","Mar.14","485","670",1100,"1650"
"1406","Middle Ring","Mar.14","420","450",570,"705"
"1407","Auburn","Mar.14","410","465",520,"600"
"1408","Bankstown","Mar.14","260","390",480,"600"
"1409","Burwood","Mar.14","390","490",650,"650"
"1410","Canterbury","Mar.14","295","360",530,"665"
"1411","Canada Bay","Mar.14","482.5","580",700,"890"
"1412","Hunters Hill","Mar.14","-","550",750,"-"
"1413","Hurstville","Mar.14","400","440",560,"630"
"1414","Kogarah","Mar.14","350","440",550,"750"
"1415","Ku-Ring-Gai","Mar.14","475","580",780,"1050"
"1416","Manly","Mar.14","527.5","687.5",910,"1412.5"
"1417","Parramatta","Mar.14","332.5","420",480,"580"
"1418","Rockdale","Mar.14","382.5","460",580,"700"
"1419","Ryde","Mar.14","370","430",600,"780"
"1420","Strathfield","Mar.14","385","460",550,"720"
"1421","Willoughby","Mar.14","470","600",840,"1250"
"1422","Outer Ring","Mar.14","300","375",420,"540"
"1423","The Hills Shire","Mar.14","330","480",550,"670"
"1424","Blacktown","Mar.14","250","350",400,"520"
"1425","Blue Mountains","Mar.14","240","302.5",380,"470"
"1426","Camden","Mar.14","-","390",420,"510"
"1427","Campbelltown","Mar.14","297.5","330",380,"450"
"1428","Fairfield","Mar.14","250","320",420,"500"
"1429","Gosford","Mar.14","250","330",400,"540"
"1430","Hawkesbury","Mar.14","250","312.5",400,"500"
"1431","Holroyd","Mar.14","270","380",450,"600"
"1432","Hornsby","Mar.14","390","480",567.5,"720"
"1433","Liverpool","Mar.14","260","325",440,"522.5"
"1434","Penrith","Mar.14","230","300",390,"480"
"1435","Pittwater","Mar.14","420","560",812.5,"1100"
"1436","Sutherland Shire","Mar.14","350","430",600,"740"
"1437","Warringah","Mar.14","425","550",760,"1000"
"1438","Wollondilly","Mar.14","-","300",380,"495"
"1439","Wyong","Mar.14","200","300",350,"440"
"1440","Rest of GMR","Mar.14","220","325",380,"430"
"1441","Cessnock","Mar.14","177.5","255",300,"380"
"1442","Kiama","Mar.14","-","350",440,"550"
"1443","Lake Macquarie","Mar.14","220","320",375,"480"
"1444","Maitland","Mar.14","185","280",335,"395"
"1445","Newcastle","Mar.14","220","360",420,"490"
"1446","Port Stephens","Mar.14","200","280",350,"410"
"1447","Shellharbour","Mar.14","-","320",390,"480"
"1448","Wollongong","Mar.14","230","330",430,"510"
"1449","Rest of NSW","Mar.14","180","250",310,"385"
"1450","New South Wales","Mar.14","405","410",400,"480"
"1451","GREATER SYDNEY","Jun.14","450","480",480,"600"
"1452","Inner Ring","Jun.14","500","645",850,"1200"
"1453","Ashfield","Jun.14","360","450",640,"-"
"1454","Botany Bay","Jun.14","430","490",685,"-"
"1455","Lane Cove","Jun.14","500","500",740,"1120"
"1456","Leichhardt","Jun.14","440","650",850,"1200"
"1457","Marrickville","Jun.14","385","510",732.5,"900"
"1458","Mosman","Jun.14","450","610",1100,"2000"
"1459","North Sydney","Jun.14","480","645",900,"1670"
"1460","Randwick","Jun.14","470","590",800,"1065"
"1461","Sydney","Jun.14","540","700",930,"1050"
"1462","Waverley","Jun.14","500","680",950,"1900"
"1463","Woollahra","Jun.14","480","680",1050,"1600"
"1464","Middle Ring","Jun.14","430","460",560,"700"
"1465","Auburn","Jun.14","430","450",500,"635"
"1466","Bankstown","Jun.14","260","400",480,"600"
"1467","Burwood","Jun.14","405","500",650,"715"
"1468","Canterbury","Jun.14","300","370",550,"637.5"
"1469","Canada Bay","Jun.14","500","600",752.5,"910"
"1470","Hunters Hill","Jun.14","-","580",1050,"1075"
"1471","Hurstville","Jun.14","360","420",550,"682.5"
"1472","Kogarah","Jun.14","350","440",550,"700"
"1473","Ku-Ring-Gai","Jun.14","465","590",780,"1085"
"1474","Manly","Jun.14","527.5","650",987.5,"1295"
"1475","Parramatta","Jun.14","380","420",500,"585"
"1476","Rockdale","Jun.14","410","450",580,"685"
"1477","Ryde","Jun.14","420","450",610,"800"
"1478","Strathfield","Jun.14","400","480",580,"700"
"1479","Willoughby","Jun.14","500","610",925,"1200"
"1480","Outer Ring","Jun.14","300","380",420,"550"
"1481","The Hills Shire","Jun.14","330","470",560,"700"
"1482","Blacktown","Jun.14","250","350",400,"535"
"1483","Blue Mountains","Jun.14","250","330",395,"500"
"1484","Camden","Jun.14","-","372.5",430,"520"
"1485","Campbelltown","Jun.14","270","322.5",385,"465"
"1486","Fairfield","Jun.14","250","320",420,"500"
"1487","Gosford","Jun.14","240","330",400,"520"
"1488","Hawkesbury","Jun.14","230","300",410,"480"
"1489","Holroyd","Jun.14","285","400",455,"550"
"1490","Hornsby","Jun.14","390","477.5",585,"735"
"1491","Liverpool","Jun.14","250","350",440,"540"
"1492","Penrith","Jun.14","240","300",390,"488"
"1493","Pittwater","Jun.14","400","560",800,"1125"
"1494","Sutherland Shire","Jun.14","350","440",600,"730"
"1495","Warringah","Jun.14","425","550",795,"995"
"1496","Wollondilly","Jun.14","-","320",390,"480"
"1497","Wyong","Jun.14","212.5","300",360,"450"
"1498","Rest of GMR","Jun.14","210","320",380,"430"
"1499","Cessnock","Jun.14","185","260",300,"380"
"1500","Kiama","Jun.14","-","350",450,"545"
"1501","Lake Macquarie","Jun.14","220","330",380,"472.5"
"1502","Maitland","Jun.14","185","275",330,"400"
"1503","Newcastle","Jun.14","215","360",407.5,"470"
"1504","Port Stephens","Jun.14","197.5","290",355,"420"
"1505","Shellharbour","Jun.14","225","300",395,"500"
"1506","Wollongong","Jun.14","220","322.5",410,"510"
"1507","Rest of NSW","Jun.14","180","250",300,"380"
"1508","New South Wales","Jun.14","400","410",400,"490"
"1509","GREATER SYDNEY","Sep.14","450","490",495,"600"
"1510","Inner Ring","Sep.14","495","630",850,"1150"
"1511","Ashfield","Sep.14","360","450",635,"782.5"
"1512","Botany Bay","Sep.14","480","590",675,"940"
"1513","Lane Cove","Sep.14","480","500",800,"1200"
"1514","Leichhardt","Sep.14","450","650",815,"1100"
"1515","Marrickville","Sep.14","395","510",750,"850"
"1516","Mosman","Sep.14","450","620",1050,"1797.5"
"1517","North Sydney","Sep.14","480","625",892.5,"1200"
"1518","Randwick","Sep.14","455","590",790,"1175"
"1519","Sydney","Sep.14","520","700",925,"1080"
"1520","Waverley","Sep.14","492.5","650",962.5,"1400"
"1521","Woollahra","Sep.14","477.5","675",1097.5,"1600"
"1522","Middle Ring","Sep.14","430","460",570,"700"
"1523","Auburn","Sep.14","420","450",520,"630"
"1524","Bankstown","Sep.14","280","400",480,"600"
"1525","Burwood","Sep.14","435","500",650,"830"
"1526","Canterbury","Sep.14","300","375",540,"635"
"1527","Canada Bay","Sep.14","500","600",730,"900"
"1528","Hunters Hill","Sep.14","435","577.5",780,"-"
"1529","Hurstville","Sep.14","400","420",545,"640"
"1530","Kogarah","Sep.14","350","450",560,"700"
"1531","Ku-Ring-Gai","Sep.14","460","590",780,"1100"
"1532","Manly","Sep.14","500","662.5",962.5,"1300"
"1533","Parramatta","Sep.14","347.5","420",490,"592.5"
"1534","Rockdale","Sep.14","410","460",600,"700"
"1535","Ryde","Sep.14","400","450",630,"760"
"1536","Strathfield","Sep.14","380","480",575,"800"
"1537","Willoughby","Sep.14","525","610",896.5,"1250"
"1538","Outer Ring","Sep.14","300","380",420,"550"
"1539","The Hills Shire","Sep.14","410","490",555,"700"
"1540","Blacktown","Sep.14","240","360",400,"550"
"1541","Blue Mountains","Sep.14","240","330",380,"490"
"1542","Camden","Sep.14","-","360",440,"530"
"1543","Campbelltown","Sep.14","240","340",390,"460"
"1544","Fairfield","Sep.14","250","320",430,"500"
"1545","Gosford","Sep.14","250","335",400,"535"
"1546","Hawkesbury","Sep.14","237.5","320",420,"500"
"1547","Holroyd","Sep.14","290","390",460,"585"
"1548","Hornsby","Sep.14","395","475",580,"720"
"1549","Liverpool","Sep.14","265","340",450,"520"
"1550","Penrith","Sep.14","245","300",395,"500"
"1551","Pittwater","Sep.14","410","575",800,"950"
"1552","Sutherland Shire","Sep.14","350","450",600,"750"
"1553","Warringah","Sep.14","420","550",795,"1000"
"1554","Wollondilly","Sep.14","-","320",380,"490"
"1555","Wyong","Sep.14","220","300",370,"450"
"1556","Rest of GMR","Sep.14","220","325",380,"420"
"1557","Cessnock","Sep.14","180","255",300,"375"
"1558","Kiama","Sep.14","-","360",440,"570"
"1559","Lake Macquarie","Sep.14","220","321",380,"460"
"1560","Maitland","Sep.14","190","280",330,"395"
"1561","Newcastle","Sep.14","220","351",400,"450"
"1562","Port Stephens","Sep.14","207.5","280",350,"420"
"1563","Shellharbour","Sep.14","-","320",390,"500"
"1564","Wollongong","Sep.14","240","335",427.5,"500"
