"","LGA","year","freq_daily","freq_less_weekly","freq_never","freq_weekly"
"243","Central Coast","2010",13.8,23.2,26,37
"244","Central Coast","2011",11.7,24.1,25.8,38.4
"245","Central Coast","2012",11.7,26.9,25.5,35.9
"246","Central Coast","2013",10.4,29.6,25.7,34.3
"247","Central Coast","2014",8.3,28.7,26.8,36.2
"248","Central Coast","2015",7,25.4,28.6,39
"249","Central Coast","2016",8.5,23.1,29.2,39.1
"250","Central Coast","2017",11,27,27.7,34.3
"251","Central Darling","2008",11,26.3,30.2,32.4
"252","Central Darling","2009",10.6,27,30.8,31.6
"253","Central Darling","2010",9.4,23,31.5,36.1
"254","Central Darling","2011",10.4,24.6,32.6,32.4
"255","Central Darling","2012",8.9,27.9,30.9,32.3
"256","Central Darling","2013",9.7,26.1,32.1,32.2
"257","Central Darling","2014",9.3,22.3,39.2,29.2
"258","Central Darling","2015",7.1,25.2,38,29.7
"259","Central Darling","2016",6.9,30.4,30.6,32.1
"260","Central Darling","2017",8.4,32.1,26.2,33.4
"261","Cessnock","2008",11.7,22.4,30.5,35.4
"262","Cessnock","2009",12.5,21.9,30.1,35.4
"263","Cessnock","2010",12.3,22.3,31,34.4
"264","Cessnock","2011",12.1,25,29.8,33.1
"265","Cessnock","2012",11.7,27.8,25.2,35.3
"266","Cessnock","2013",11,28.4,25.6,35
"267","Cessnock","2014",9.4,27.4,28.5,34.7
"268","Cessnock","2015",8.6,25.8,28,37.6
"269","Cessnock","2016",8.3,24.3,27.7,39.6
"270","Cessnock","2017",8.8,25,26.4,39.8
"271","Clarence Valley","2008",14.4,19.8,27.5,38.3
"272","Clarence Valley","2009",13.3,19.5,29.6,37.6
"273","Clarence Valley","2010",12.5,18.2,31.9,37.4
"274","Clarence Valley","2011",11.9,22.3,29.1,36.7
"275","Clarence Valley","2012",12.8,26.6,25.3,35.3
"276","Clarence Valley","2013",14.1,27,25.5,33.3
"277","Clarence Valley","2014",12.2,25.7,26,36.1
"278","Clarence Valley","2015",11.8,24.4,25.6,38.3
"279","Clarence Valley","2016",12.2,24.3,23.4,40
"280","Clarence Valley","2017",11.8,24.8,21.1,42.3
"281","Cobar","2008",10.1,26.8,29.9,33.2
"282","Cobar","2009",11.8,23.7,30.1,34.3
"283","Cobar","2010",11.6,23.6,29.9,34.9
"284","Cobar","2011",10.1,26.3,29.2,34.4
"285","Cobar","2012",9.1,30,28.4,32.5
"286","Cobar","2013",8.3,30.3,28.9,32.5
