LGA,year,Business_entries,Business_exits,New_business_entries_rate
Leeton,2017,89,99,-0.11235955056179775
Lismore,2011,NA,NA,NA
Lismore,2012,NA,NA,NA
Lismore,2013,NA,NA,NA
Lismore,2014,342,425,-0.24269005847953215
Lismore,2015,350,389,-0.11142857142857143
Lismore,2016,389,375,0.03598971722365039
Lismore,2017,436,360,0.1743119266055046
Lithgow,2011,NA,NA,NA
Lithgow,2012,NA,NA,NA
Lithgow,2013,NA,NA,NA
Lithgow,2014,115,137,-0.19130434782608696
Lithgow,2015,119,147,-0.23529411764705882
Lithgow,2016,163,147,0.09815950920245399
Lithgow,2017,146,164,-0.1232876712328767
Liverpool,2011,NA,NA,NA
Liverpool,2012,NA,NA,NA
Liverpool,2013,NA,NA,NA
Liverpool,2014,2212,1958,0.11482820976491863
Liverpool,2015,2349,1895,0.19327373350361857
Liverpool,2016,2729,1940,0.2891168926346647
Liverpool,2017,2971,2167,0.27061595422416695
Liverpool,2011,NA,NA,NA
Liverpool,2012,NA,NA,NA
Liverpool,2013,NA,NA,NA
Liverpool,2014,79,96,-0.21518987341772153
Liverpool,2015,71,80,-0.1267605633802817
Liverpool,2016,75,86,-0.14666666666666667
Liverpool,2017,91,73,0.1978021978021978
Lockhart,2011,NA,NA,NA
Lockhart,2012,NA,NA,NA
Lockhart,2013,NA,NA,NA
Lockhart,2014,24,26,-0.08333333333333333
Lockhart,2015,15,32,-1.1333333333333333
Lockhart,2016,15,23,-0.5333333333333333
Lockhart,2017,22,30,-0.36363636363636365
Maitland,2011,NA,NA,NA
Maitland,2012,NA,NA,NA
Maitland,2013,NA,NA,NA
Maitland,2014,661,600,0.09228441754916793
Maitland,2015,653,531,0.18683001531393567
Maitland,2016,731,563,0.22982216142270862
Maitland,2017,749,573,0.2349799732977303
Mid-Coast,2011,NA,NA,NA
Mid-Coast,2012,NA,NA,NA
Mid-Coast,2013,NA,NA,NA
Mid-Coast,2014,658,726,-0.1033434650455927
Mid-Coast,2015,614,726,-0.18241042345276873
Mid-Coast,2016,634,760,-0.19873817034700317
Mid-Coast,2017,721,677,0.06102635228848821
Mid-Western,2011,NA,NA,NA
Mid-Western,2012,NA,NA,NA
Mid-Western,2013,NA,NA,NA
Mid-Western,2014,251,249,0.00796812749003984
Mid-Western,2015,227,281,-0.23788546255506607
Mid-Western,2016,293,245,0.16382252559726962
Mid-Western,2017,298,278,0.06711409395973154
Moree,2011,NA,NA,NA
Moree,2012,NA,NA,NA
Moree,2013,NA,NA,NA
Moree,2014,211,149,0.2938388625592417
Moree,2015,136,182,-0.3382352941176471
Moree,2016,178,146,0.1797752808988764
Moree,2017,202,157,0.22277227722772278
Mosman,2011,NA,NA,NA
Mosman,2012,NA,NA,NA
Mosman,2013,NA,NA,NA
Mosman,2014,495,477,0.03636363636363636
Mosman,2015,541,520,0.038817005545286505
Mosman,2016,527,471,0.1062618595825427
Mosman,2017,618,484,0.2168284789644013
Murray,2011,NA,NA,NA
Murray,2012,NA,NA,NA
Murray,2013,NA,NA,NA
Murray,2014,126,122,0.031746031746031744
Murray,2015,119,129,-0.08403361344537816
Murray,2016,86,122,-0.4186046511627907
Murray,2017,117,123,-0.05128205128205128
Murrumbidgee,2011,NA,NA,NA
Murrumbidgee,2012,NA,NA,NA
Murrumbidgee,2013,NA,NA,NA
Murrumbidgee,2014,66,50,0.24242424242424243
Murrumbidgee,2015,48,64,-0.3333333333333333
Murrumbidgee,2016,51,45,0.11764705882352941
Murrumbidgee,2017,66,46,0.30303030303030304
Muswellbrook,2011,NA,NA,NA
Muswellbrook,2012,NA,NA,NA
Muswellbrook,2013,NA,NA,NA
Muswellbrook,2014,117,116,0.008547008547008548
Muswellbrook,2015,128,110,0.140625
Muswellbrook,2016,118,130,-0.1016949152542373
Muswellbrook,2017,140,100,0.2857142857142857
Nambucca,2011,NA,NA,NA
Nambucca,2012,NA,NA,NA
Nambucca,2013,NA,NA,NA
Nambucca,2014,113,152,-0.34513274336283184
Nambucca,2015,116,133,-0.14655172413793102
Nambucca,2016,143,141,0.013986013986013986
Nambucca,2017,149,156,-0.04697986577181208
Narrabri,2011,NA,NA,NA
Narrabri,2012,NA,NA,NA
Narrabri,2013,NA,NA,NA
Narrabri,2014,176,159,0.09659090909090909
Narrabri,2015,134,199,-0.48507462686567165
Narrabri,2016,138,152,-0.10144927536231885
Narrabri,2017,191,123,0.35602094240837695
Narrandera,2011,NA,NA,NA
Narrandera,2012,NA,NA,NA
Narrandera,2013,NA,NA,NA
Narrandera,2014,67,45,0.3283582089552239
Narrandera,2015,43,51,-0.18604651162790697
Narrandera,2016,50,54,-0.08
Narrandera,2017,56,47,0.16071428571428573
Narromine,2011,NA,NA,NA
Narromine,2012,NA,NA,NA
Narromine,2013,NA,NA,NA
Narromine,2014,101,75,0.25742574257425743
Narromine,2015,52,78,-0.5
Narromine,2016,91,64,0.2967032967032967
Narromine,2017,80,66,0.175
Newcastle,2011,NA,NA,NA
Newcastle,2012,NA,NA,NA
Newcastle,2013,NA,NA,NA
Newcastle,2014,1543,1401,0.09202851587815943
Newcastle,2015,1605,1434,0.10654205607476636
Newcastle,2016,1796,1433,0.20211581291759464
Newcastle,2017,1984,1405,0.2918346774193548
North,2011,NA,NA,NA
North,2012,NA,NA,NA
North,2013,NA,NA,NA
North,2014,1908,1684,0.11740041928721175
North,2015,2340,1743,0.2551282051282051
North,2016,2156,1702,0.21057513914656772
North,2017,2253,1722,0.23568575233022637
Northern,2011,NA,NA,NA
Northern,2012,NA,NA,NA
Northern,2013,NA,NA,NA
Northern,2014,3840,3569,0.07057291666666667
Northern,2015,3823,3634,0.04943761443892231
Northern,2016,3996,3607,0.09734734734734735
Northern,2017,4318,3453,0.2003242241778601
Oberon,2011,NA,NA,NA
Oberon,2012,NA,NA,NA
Oberon,2013,NA,NA,NA
Oberon,2014,67,80,-0.19402985074626866
Oberon,2015,45,61,-0.35555555555555557
Oberon,2016,67,69,-0.029850746268656716
Oberon,2017,60,60,0
Orange,2011,NA,NA,NA
Orange,2012,NA,NA,NA
Orange,2013,NA,NA,NA
Orange,2014,371,334,0.09973045822102426
Orange,2015,384,339,0.1171875
Orange,2016,390,387,0.007692307692307693
Orange,2017,444,298,0.32882882882882886
Parkes,2011,NA,NA,NA
Parkes,2012,NA,NA,NA
Parkes,2013,NA,NA,NA
Parkes,2014,140,137,0.02142857142857143
Parkes,2015,127,157,-0.23622047244094488
Parkes,2016,117,136,-0.1623931623931624
Parkes,2017,129,133,-0.031007751937984496
Parramatta,2011,NA,NA,NA
Parramatta,2012,NA,NA,NA
Parramatta,2013,NA,NA,NA
Parramatta,2014,3715,2926,0.21238223418573351
Parramatta,2015,3932,3095,0.21286876907426247
Parramatta,2016,4548,3137,0.3102462620932278
Parramatta,2017,4730,3244,0.3141649048625793
Penrith,2011,NA,NA,NA
Penrith,2012,NA,NA,NA
Penrith,2013,NA,NA,NA
Penrith,2014,1674,1617,0.034050179211469536
Penrith,2015,1650,1525,0.07575757575757576
Penrith,2016,2002,1538,0.23176823176823177
Penrith,2017,2220,1635,0.2635135135135135
