LGA,YEAR,Median Employee income $
Moree Plains,2013,40071
Moree Plains,2014,41458
Moree Plains,2015,42498
Moree Plains,2016,43896
Moree Plains,2017,-
Mosman,2011,57320
Mosman,2012,60000
Mosman,2013,61013
Mosman,2014,63182
Mosman,2015,65703
Mosman,2016,68812
Mosman,2017,-
Murray River,2011,31832
Murray River,2012,34563
Murray River,2013,35285
Murray River,2014,36815
Murray River,2015,37604
Murray River,2016,40311
Murrumbidgee,2011,32001
Murrumbidgee,2012,32680
Murrumbidgee,2013,34824
Murrumbidgee,2014,36051
Murrumbidgee,2015,35304
Murrumbidgee,2016,38936
Murrumbidgee,2017,-
Muswellbrook,2011,46256
Muswellbrook,2012,50836
Muswellbrook,2013,51549
Muswellbrook,2014,52056
Muswellbrook,2015,51957
Muswellbrook,2016,53851
Muswellbrook,2017,-
Nambucca,2011,30627
Nambucca,2012,31829
Nambucca,2013,33333
Nambucca,2014,34874
Nambucca,2015,36475
Nambucca,2016,38527
Nambucca,2017,-
Narrabri,2011,35205
Narrabri,2012,38037
Narrabri,2013,40632
Narrabri,2014,41714
Narrabri,2015,41752
Narrabri,2016,43518
Narrabri,2017,-
Narrandera,2011,34843
Narrandera,2012,35749
Narrandera,2013,38110
Narrandera,2014,38149
Narrandera,2015,39814
Narrandera,2016,41694
Narrandera,2017,-
Narromine,2011,34417
Narromine,2012,36728
Narromine,2013,37677
Narromine,2014,38325
Narromine,2015,39803
Narromine,2016,42840
Narromine,2017,-
Newcastle,2011,42819
Newcastle,2012,45071
Newcastle,2013,46557
Newcastle,2014,47176
Newcastle,2015,48294
Newcastle,2016,49901
Newcastle,2017,-
North Sydney,2011,60237
North Sydney,2012,63393
North Sydney,2013,65676
North Sydney,2014,67953
North Sydney,2015,70518
North Sydney,2016,73241
North Sydney,2017,-
Northern Beaches,2011,45519
Northern Beaches,2012,47470
Northern Beaches,2013,49047
Northern Beaches,2014,51100
Northern Beaches,2015,53000
Northern Beaches,2016,55000
Oberon,2011,40695
Oberon,2012,41744
Oberon,2013,42490
Oberon,2014,44191
Oberon,2015,46682
Oberon,2016,47847
Oberon,2017,-
Orange,2011,41737
Orange,2012,44591
Orange,2013,45334
Orange,2014,46113
Orange,2015,47373
Orange,2016,48522
Orange,2017,-
Parkes,2011,36564
Parkes,2012,38433
Parkes,2013,39868
Parkes,2014,40005
Parkes,2015,41826
Parkes,2016,43520
Parkes,2017,-
Parramatta,2011,44406
Parramatta,2012,46402
Parramatta,2013,47965
Parramatta,2014,49475
Parramatta,2015,50966
Parramatta,2016,52413
Parramatta,2017,-
Penrith,2011,45093
Penrith,2012,46898
Penrith,2013,48358
Penrith,2014,49418
Penrith,2015,50754
Penrith,2016,52417
Penrith,2017,-
Port Macquarie-Hastings,2011,34752
Port Macquarie-Hastings,2012,36424
Port Macquarie-Hastings,2013,37704
Port Macquarie-Hastings,2014,38888
Port Macquarie-Hastings,2015,40430
Port Macquarie-Hastings,2016,42005
Port Macquarie-Hastings,2017,-
Port Stephens,2011,39013
Port Stephens,2012,41624
Port Stephens,2013,42418
Port Stephens,2014,43031
Port Stephens,2015,43976
Port Stephens,2016,45317
Port Stephens,2017,-
Queanbeyan-Palerang Regional,2011,52592
Queanbeyan-Palerang Regional,2012,55045
Queanbeyan-Palerang Regional,2013,57020
Queanbeyan-Palerang Regional,2014,58139
Queanbeyan-Palerang Regional,2015,59537
Queanbeyan-Palerang Regional,2016,61360
Randwick,2011,47253
Randwick,2012,49635
Randwick,2013,51026
Randwick,2014,52730
Randwick,2015,54979
Randwick,2016,57011
Randwick,2017,-
Richmond Valley,2011,35292
Richmond Valley,2012,36831
Richmond Valley,2013,37451
Richmond Valley,2014,39046
Richmond Valley,2015,40022
Richmond Valley,2016,41102
Richmond Valley,2017,-
Ryde,2011,46032
Ryde,2012,47821
Ryde,2013,49599
Ryde,2014,50830
Ryde,2015,52071
Ryde,2016,54156
Ryde,2017,-
Shellharbour,2011,42071
Shellharbour,2012,44103
Shellharbour,2013,44567
Shellharbour,2014,45645
Shellharbour,2015,46759
Shellharbour,2016,48679
Shellharbour,2017,-
Shoalhaven,2011,34337
Shoalhaven,2012,35661
Shoalhaven,2013,36456
Shoalhaven,2014,37688
Shoalhaven,2015,38972
Shoalhaven,2016,40049
Shoalhaven,2017,-
Singleton,2011,49778
Singleton,2012,53517
Singleton,2013,54215
Singleton,2014,54381
Singleton,2015,53928
Singleton,2016,55660
Singleton,2017,-
Snowy Monaro Regional,2011,34506
Snowy Monaro Regional,2012,36611
Snowy Monaro Regional,2013,37449
Snowy Monaro Regional,2014,39130
Snowy Monaro Regional,2015,39688
Snowy Monaro Regional,2016,40654
Snowy Valleys,2011,37665
Snowy Valleys,2012,39933
Snowy Valleys,2013,40967
Snowy Valleys,2014,41333
Snowy Valleys,2015,42576
Snowy Valleys,2016,43776
Snowy Valleys,2017,-
Strathfield,2011,38528
Strathfield,2012,40808
Strathfield,2013,42685
Strathfield,2014,43521
Strathfield,2015,44535
Strathfield,2016,45795
Strathfield,2017,-
Sutherland Shire,2011,48002
Sutherland Shire,2012,50000
Sutherland Shire,2013,51161
Sutherland Shire,2014,52560
Sutherland Shire,2015,54169
Sutherland Shire,2016,56492
Sutherland Shire,2017,-
Sydney,2011,39091
Sydney,2012,40936
Sydney,2013,42857
Sydney,2014,44750
Sydney,2015,47066
Sydney,2016,48852
Sydney,2017,-
Tamworth Regional,2011,38211
Tamworth Regional,2012,39527
Tamworth Regional,2013,40519
Tamworth Regional,2014,41585
Tamworth Regional,2015,43336
Tamworth Regional,2016,44882
Tamworth Regional,2017,-
Temora,2011,32298
Temora,2012,35381
Temora,2013,35360
Temora,2014,36562
Temora,2015,37804
Temora,2016,39754
Temora,2017,-
Tenterfield,2011,28600
Tenterfield,2012,31066
Tenterfield,2013,32521
Tenterfield,2014,32917
Tenterfield,2015,35000
Tenterfield,2016,34514
Tenterfield,2017,-
The Hills Shire,2011,49581
The Hills Shire,2012,51129
The Hills Shire,2013,52628
The Hills Shire,2014,54075
The Hills Shire,2015,55688
The Hills Shire,2016,57669
The Hills Shire,2017,-
Tweed,2011,34496
Tweed,2012,35873
Tweed,2013,37666
Tweed,2014,38491
Tweed,2015,39270
Tweed,2016,40949
Tweed,2017,-
Upper Hunter Shire,2011,39194
Upper Hunter Shire,2012,41981
Upper Hunter Shire,2013,43143
Upper Hunter Shire,2014,43905
Upper Hunter Shire,2015,43859
Upper Hunter Shire,2016,47118
Upper Hunter Shire,2017,-
Upper Lachlan Shire,2011,35032
Upper Lachlan Shire,2012,36502
Upper Lachlan Shire,2013,37214
Upper Lachlan Shire,2014,39118
Upper Lachlan Shire,2015,40693
Upper Lachlan Shire,2016,43002
Upper Lachlan Shire,2017,-
Uralla,2011,33219
Uralla,2012,34684
Uralla,2013,36686
Uralla,2014,37933
Uralla,2015,38845
Uralla,2016,41282
Uralla,2017,-
Wagga Wagga,2011,40486
Wagga Wagga,2012,41670
Wagga Wagga,2013,43224
Wagga Wagga,2014,44385
Wagga Wagga,2015,45759
Wagga Wagga,2016,47677
Wagga Wagga,2017,-
Walcha,2011,29236
Walcha,2012,31979
Walcha,2013,31556
Walcha,2014,32888
Walcha,2015,34667
Walcha,2016,36486
Walcha,2017,-
Walgett,2011,29905
Walgett,2012,30179
Walgett,2013,31921
Walgett,2014,35338
Walgett,2015,34018
Walgett,2016,35873
Walgett,2017,-
Warren,2011,32336
Warren,2012,34864
Warren,2013,37736
Warren,2014,39354
Warren,2015,38545
Warren,2016,41525
Warren,2017,-
Warrumbungle Shire,2011,31296
Warrumbungle Shire,2012,32954
Warrumbungle Shire,2013,33498
Warrumbungle Shire,2014,34182
Warrumbungle Shire,2015,37187
Warrumbungle Shire,2016,38238
Warrumbungle Shire,2017,-
Waverley,2011,45067
Waverley,2012,47913
Waverley,2013,50000
Waverley,2014,52500
Waverley,2015,54772
Waverley,2016,56373
Waverley,2017,-
Weddin,2011,29705
Weddin,2012,30664
Weddin,2013,31121
Weddin,2014,30735
Weddin,2015,32419
Weddin,2016,35016
Weddin,2017,-
Wentworth,2011,32510
Wentworth,2012,34279
Wentworth,2013,32552
Wentworth,2014,33006
Wentworth,2015,29713
Wentworth,2016,28166
Wentworth,2017,-
Western Plains Regional,2011,38631
Western Plains Regional,2012,40127
Western Plains Regional,2013,41412
Western Plains Regional,2014,42609
Western Plains Regional,2015,43663
Western Plains Regional,2016,45510
Western Plains Regional,2017,-
Willoughby,2011,50599
Willoughby,2012,53000
Willoughby,2013,54959
Willoughby,2014,55721
Willoughby,2015,58240
Willoughby,2016,60273
Willoughby,2017,-
Wingecarribee,2011,37201
