 Sex, Local Health Districts, year, Drinking frequency, Number of Respondents, Actual estimate (Per cent), LL 95% CI, UL 95% CI
 Females, Hunter New England LHD, 2006-2007, Weekly,"1,249",28.4,25.4,31.3
 Females, Hunter New England LHD, 2006-2007, Daily,"1,249",7,5.5,8.4
 Females, Hunter New England LHD, 2007-2008, Never,"1,231",39.9,36.7,43.2
 Females, Hunter New England LHD, 2007-2008, Less than weekly,"1,231",26.8,23.8,29.9
 Females, Hunter New England LHD, 2007-2008, Weekly,"1,231",26.3,23.4,29.2
 Females, Hunter New England LHD, 2007-2008, Daily,"1,231",6.9,5.6,8.3
 Females, Hunter New England LHD, 2008-2009, Never,"1,458",38.5,35.5,41.4
 Females, Hunter New England LHD, 2008-2009, Less than weekly,"1,458",25,22.2,27.7
 Females, Hunter New England LHD, 2008-2009, Weekly,"1,458",28.8,26.1,31.6
 Females, Hunter New England LHD, 2008-2009, Daily,"1,458",7.7,6.4,9.1
 Females, Hunter New England LHD, 2009-2010, Never,"1,585",37.5,34.6,40.4
 Females, Hunter New England LHD, 2009-2010, Less than weekly,"1,585",23.8,21,26.5
 Females, Hunter New England LHD, 2009-2010, Weekly,"1,585",29.3,26.5,32
 Females, Hunter New England LHD, 2009-2010, Daily,"1,585",9.5,8,11
 Females, Hunter New England LHD, 2010-2011, Never,"1,213",34.6,30.9,38.3
 Females, Hunter New England LHD, 2010-2011, Less than weekly,"1,213",27.5,23.9,31.1
 Females, Hunter New England LHD, 2010-2011, Weekly,"1,213",29.3,25.9,32.8
 Females, Hunter New England LHD, 2010-2011, Daily,"1,213",8.6,7,10.2
 Females, Hunter New England LHD, 2011-2012, Never,"1,009",29.9,25.1,34.7
 Females, Hunter New England LHD, 2011-2012, Less than weekly,"1,009",31.1,25.8,36.4
 Females, Hunter New England LHD, 2011-2012, Weekly,"1,009",31.7,26.3,37.1
 Females, Hunter New England LHD, 2011-2012, Daily,"1,009",7.3,4.3,10.2
 Females, Hunter New England LHD, 2012-2013, Never,"1,090",31.5,27,36.1
 Females, Hunter New England LHD, 2012-2013, Less than weekly,"1,090",32.5,27.5,37.6
 Females, Hunter New England LHD, 2012-2013, Weekly,"1,090",29.3,24.1,34.4
 Females, Hunter New England LHD, 2012-2013, Daily,"1,090",6.7,3.8,9.5
 Females, Hunter New England LHD, 2013-2014, Never,"1,130",36.1,32.4,39.8
 Females, Hunter New England LHD, 2013-2014, Less than weekly,"1,130",30.4,26.7,34
 Females, Hunter New England LHD, 2013-2014, Weekly,"1,130",27.9,24.5,31.3
 Females, Hunter New England LHD, 2013-2014, Daily,"1,130",5.7,4,7.3
 Females, Hunter New England LHD, 2014-2015, Never,"1,121",33.5,29.3,37.7
 Females, Hunter New England LHD, 2014-2015, Less than weekly,"1,121",27.3,23.4,31.3
 Females, Hunter New England LHD, 2014-2015, Weekly,"1,121",32.1,27.4,36.7
 Females, Hunter New England LHD, 2014-2015, Daily,"1,121",7.1,3.5,10.7
 Females, Hunter New England LHD, 2015-2016, Never,"1,023",32.3,27.9,36.6
 Females, Hunter New England LHD, 2015-2016, Less than weekly,"1,023",27.8,23.7,31.8
 Females, Hunter New England LHD, 2015-2016, Weekly,"1,023",33.9,29,38.8
 Females, Hunter New England LHD, 2015-2016, Daily,"1,023",6.1,2.7,9.5
 Females, Hunter New England LHD, 2016-2017, Never,997,33.2,29.3,37.2
 Females, Hunter New England LHD, 2016-2017, Less than weekly,997,29.8,26,33.6
 Females, Hunter New England LHD, 2016-2017, Weekly,997,32.3,28.4,36.3
 Females, Hunter New England LHD, 2016-2017, Daily,997,4.7,3.3,6.1
 Females, Northern NSW LHD, 2002-2003, Never,918,29.2,25.9,32.4
 Females, Northern NSW LHD, 2002-2003, Less than weekly,918,29.4,25.9,32.8
 Females, Northern NSW LHD, 2002-2003, Weekly,918,33.1,29.6,36.5
 Females, Northern NSW LHD, 2002-2003, Daily,918,8.4,6.5,10.2
 Females, Northern NSW LHD, 2003-2004, Never,876,29.3,26,32.5
 Females, Northern NSW LHD, 2003-2004, Less than weekly,876,25.2,21.8,28.6
 Females, Northern NSW LHD, 2003-2004, Weekly,876,34.9,31.4,38.5
 Females, Northern NSW LHD, 2003-2004, Daily,876,10.6,8.5,12.7
 Females, Northern NSW LHD, 2004-2005, Never,956,33.4,30.1,36.7
 Females, Northern NSW LHD, 2004-2005, Less than weekly,956,22.8,19.6,26
 Females, Northern NSW LHD, 2004-2005, Weekly,956,33.7,30.2,37.1
 Females, Northern NSW LHD, 2004-2005, Daily,956,10.1,8.1,12
 Females, Northern NSW LHD, 2005-2006, Never,904,35.9,32.4,39.4
 Females, Northern NSW LHD, 2005-2006, Less than weekly,904,22.7,19.4,26
 Females, Northern NSW LHD, 2005-2006, Weekly,904,33,29.5,36.6
 Females, Northern NSW LHD, 2005-2006, Daily,904,8.4,6.6,10.1
 Females, Northern NSW LHD, 2006-2007, Never,661,35.2,31,39.5
 Females, Northern NSW LHD, 2006-2007, Less than weekly,661,21.3,17.4,25.2
 Females, Northern NSW LHD, 2006-2007, Weekly,661,35.2,31,39.5
 Females, Northern NSW LHD, 2006-2007, Daily,661,8.2,6.2,10.3
 Females, Northern NSW LHD, 2007-2008, Never,663,37.1,32.8,41.5
 Females, Northern NSW LHD, 2007-2008, Less than weekly,663,22.8,18.8,26.8
 Females, Northern NSW LHD, 2007-2008, Weekly,663,33.1,28.9,37.4
 Females, Northern NSW LHD, 2007-2008, Daily,663,7,5.1,8.8
 Females, Northern NSW LHD, 2008-2009, Never,858,37.8,33.7,41.9
 Females, Northern NSW LHD, 2008-2009, Less than weekly,858,20.8,17.3,24.2
 Females, Northern NSW LHD, 2008-2009, Weekly,858,33.6,29.7,37.4
 Females, Northern NSW LHD, 2008-2009, Daily,858,7.9,6.1,9.6
 Females, Northern NSW LHD, 2009-2010, Never,"1,021",38.8,35.1,42.5
 Females, Northern NSW LHD, 2009-2010, Less than weekly,"1,021",20.4,17.3,23.6
 Females, Northern NSW LHD, 2009-2010, Weekly,"1,021",32.2,28.8,35.7
 Females, Northern NSW LHD, 2009-2010, Daily,"1,021",8.5,6.9,10.2
 Females, Northern NSW LHD, 2010-2011, Never,"1,028",36,32.5,39.5
 Females, Northern NSW LHD, 2010-2011, Less than weekly,"1,028",25.3,21.9,28.7
 Females, Northern NSW LHD, 2010-2011, Weekly,"1,028",30.9,27.5,34.4
 Females, Northern NSW LHD, 2010-2011, Daily,"1,028",7.8,6.1,9.5
 Females, Northern NSW LHD, 2011-2012, Never,"1,001",30.5,26.7,34.4
 Females, Northern NSW LHD, 2011-2012, Less than weekly,"1,001",28.4,24.2,32.6
 Females, Northern NSW LHD, 2011-2012, Weekly,"1,001",32.4,28.2,36.6
 Females, Northern NSW LHD, 2011-2012, Daily,"1,001",8.6,6.7,10.6
 Females, Northern NSW LHD, 2012-2013, Never,965,28.9,24.7,33
 Females, Northern NSW LHD, 2012-2013, Less than weekly,965,31.6,26.3,36.8
 Females, Northern NSW LHD, 2012-2013, Weekly,965,30.7,26.2,35.1
 Females, Northern NSW LHD, 2012-2013, Daily,965,8.9,6.7,11.2
 Females, Northern NSW LHD, 2013-2014, Never,938,28.9,24.4,33.3
 Females, Northern NSW LHD, 2013-2014, Less than weekly,938,30.9,25,36.9
 Females, Northern NSW LHD, 2013-2014, Weekly,938,32.1,26.8,37.4
 Females, Northern NSW LHD, 2013-2014, Daily,938,8.1,5.6,10.5
 Females, Northern NSW LHD, 2014-2015, Never,961,27.1,22.5,31.7
 Females, Northern NSW LHD, 2014-2015, Less than weekly,961,30.3,23.8,36.7
 Females, Northern NSW LHD, 2014-2015, Weekly,961,35.4,29.1,41.6
 Females, Northern NSW LHD, 2014-2015, Daily,961,7.3,5,9.5
 Females, Northern NSW LHD, 2015-2016, Never,"1,027",27.8,21.9,33.6
 Females, Northern NSW LHD, 2015-2016, Less than weekly,"1,027",31.9,25.1,38.7
 Females, Northern NSW LHD, 2015-2016, Weekly,"1,027",33.8,27.5,40.1
 Females, Northern NSW LHD, 2015-2016, Daily,"1,027",6.5,4.4,8.7
 Females, Northern NSW LHD, 2016-2017, Never,"1,052",27.5,21.5,33.5
 Females, Northern NSW LHD, 2016-2017, Less than weekly,"1,052",31.5,24.8,38.2
 Females, Northern NSW LHD, 2016-2017, Weekly,"1,052",35.4,29.4,41.5
 Females, Northern NSW LHD, 2016-2017, Daily,"1,052",5.5,3.7,7.4
 Females, Mid North Coast LHD, 2002-2003, Never,664,29.2,25.4,33
 Females, Mid North Coast LHD, 2002-2003, Less than weekly,664,26.5,22.4,30.5
 Females, Mid North Coast LHD, 2002-2003, Weekly,664,32.7,28.5,37
 Females, Mid North Coast LHD, 2002-2003, Daily,664,11.6,9,14.1
 Females, Mid North Coast LHD, 2003-2004, Never,621,30.5,26.3,34.6
 Females, Mid North Coast LHD, 2003-2004, Less than weekly,621,26.9,22.6,31.1
 Females, Mid North Coast LHD, 2003-2004, Weekly,621,30.7,26.5,34.9
 Females, Mid North Coast LHD, 2003-2004, Daily,621,11.9,9.2,14.7
 Females, Mid North Coast LHD, 2004-2005, Never,640,36,31.7,40.4
 Females, Mid North Coast LHD, 2004-2005, Less than weekly,640,25.9,21.8,30
 Females, Mid North Coast LHD, 2004-2005, Weekly,640,28.7,24.6,32.8
 Females, Mid North Coast LHD, 2004-2005, Daily,640,9.4,6.9,11.9
 Females, Mid North Coast LHD, 2005-2006, Never,655,37.8,33.4,42.2
 Females, Mid North Coast LHD, 2005-2006, Less than weekly,655,21.4,17.6,25.2
 Females, Mid North Coast LHD, 2005-2006, Weekly,655,29.7,25.3,34.1
 Females, Mid North Coast LHD, 2005-2006, Daily,655,11.2,8.5,13.8
 Females, Mid North Coast LHD, 2006-2007, Never,531,37.4,32.4,42.5
 Females, Mid North Coast LHD, 2006-2007, Less than weekly,531,19.2,15,23.4
 Females, Mid North Coast LHD, 2006-2007, Weekly,531,30.5,25.5,35.5
 Females, Mid North Coast LHD, 2006-2007, Daily,531,12.8,9.8,15.9
 Females, Mid North Coast LHD, 2007-2008, Never,559,38.8,34.1,43.6
 Females, Mid North Coast LHD, 2007-2008, Less than weekly,559,22.5,18.2,26.7
 Females, Mid North Coast LHD, 2007-2008, Weekly,559,27.8,23.6,31.9
 Females, Mid North Coast LHD, 2007-2008, Daily,559,11,8.2,13.7
 Females, Mid North Coast LHD, 2008-2009, Never,678,36.9,32.7,41.1
 Females, Mid North Coast LHD, 2008-2009, Less than weekly,678,24.7,20.7,28.8
 Females, Mid North Coast LHD, 2008-2009, Weekly,678,27.8,24.1,31.5
 Females, Mid North Coast LHD, 2008-2009, Daily,678,10.6,8.1,13
 Females, Mid North Coast LHD, 2009-2010, Never,743,36.5,32.4,40.6
 Females, Mid North Coast LHD, 2009-2010, Less than weekly,743,23.6,19.8,27.4
 Females, Mid North Coast LHD, 2009-2010, Weekly,743,30.8,26.9,34.8
 Females, Mid North Coast LHD, 2009-2010, Daily,743,9,7,11.1
 Females, Mid North Coast LHD, 2010-2011, Never,921,35.4,31.4,39.4
 Females, Mid North Coast LHD, 2010-2011, Less than weekly,921,22.2,18.7,25.7
 Females, Mid North Coast LHD, 2010-2011, Weekly,921,33,29.1,36.9
 Females, Mid North Coast LHD, 2010-2011, Daily,921,9.4,7.5,11.3
 Females, Mid North Coast LHD, 2011-2012, Never,"1,130",36.4,32,40.9
 Females, Mid North Coast LHD, 2011-2012, Less than weekly,"1,130",21.6,18,25.2
 Females, Mid North Coast LHD, 2011-2012, Weekly,"1,130",33,28.6,37.4
 Females, Mid North Coast LHD, 2011-2012, Daily,"1,130",9,6.9,11.1
 Females, Mid North Coast LHD, 2012-2013, Never,"1,056",41.2,35.9,46.6
 Females, Mid North Coast LHD, 2012-2013, Less than weekly,"1,056",21.7,17.7,25.8
 Females, Mid North Coast LHD, 2012-2013, Weekly,"1,056",29.5,24.7,34.2
 Females, Mid North Coast LHD, 2012-2013, Daily,"1,056",7.6,5.3,9.8
 Females, Mid North Coast LHD, 2013-2014, Never,981,41.6,35.9,47.2
 Females, Mid North Coast LHD, 2013-2014, Less than weekly,981,23.2,18.5,27.9
 Females, Mid North Coast LHD, 2013-2014, Weekly,981,27.5,22.9,32.1
 Females, Mid North Coast LHD, 2013-2014, Daily,981,7.8,5.5,10.1
 Females, Mid North Coast LHD, 2014-2015, Never,"1,017",38.4,30.1,46.8
 Females, Mid North Coast LHD, 2014-2015, Less than weekly,"1,017",22.9,17.3,28.4
 Females, Mid North Coast LHD, 2014-2015, Weekly,"1,017",30,23.9,36.2
 Females, Mid North Coast LHD, 2014-2015, Daily,"1,017",8.6,5.4,11.9
 Females, Mid North Coast LHD, 2015-2016, Never,"1,087",32.8,24.2,41.4
 Females, Mid North Coast LHD, 2015-2016, Less than weekly,"1,087",25.9,18.9,32.9
 Females, Mid North Coast LHD, 2015-2016, Weekly,"1,087",33.9,26.9,40.9
 Females, Mid North Coast LHD, 2015-2016, Daily,"1,087",7.4,4.4,10.5
 Females, Mid North Coast LHD, 2016-2017, Never,"1,059",30.2,24.8,35.6
 Females, Mid North Coast LHD, 2016-2017, Less than weekly,"1,059",30.5,23.7,37.3
 Females, Mid North Coast LHD, 2016-2017, Weekly,"1,059",32.3,26,38.7
 Females, Mid North Coast LHD, 2016-2017, Daily,"1,059",7,4.4,9.5
 Females, Southern NSW LHD, 2002-2003, Never,827,26.6,23.2,30
 Females, Southern NSW LHD, 2002-2003, Less than weekly,827,30.4,26.8,34.1
 Females, Southern NSW LHD, 2002-2003, Weekly,827,31.6,28,35.3
 Females, Southern NSW LHD, 2002-2003, Daily,827,11.3,9,13.6
 Females, Southern NSW LHD, 2003-2004, Never,654,27.1,23.3,31
 Females, Southern NSW LHD, 2003-2004, Less than weekly,654,28.1,24,32.3
 Females, Southern NSW LHD, 2003-2004, Weekly,654,32.6,28.5,36.7
 Females, Southern NSW LHD, 2003-2004, Daily,654,12.1,9.4,14.8
 Females, Southern NSW LHD, 2004-2005, Never,642,32.8,28.7,37
 Females, Southern NSW LHD, 2004-2005, Less than weekly,642,25,20.9,29.1
 Females, Southern NSW LHD, 2004-2005, Weekly,642,32.8,28.7,37
 Females, Southern NSW LHD, 2004-2005, Daily,642,9.4,7.1,11.6
 Females, Southern NSW LHD, 2005-2006, Never,578,37.8,32.6,43
 Females, Southern NSW LHD, 2005-2006, Less than weekly,578,20.1,16,24.2
 Females, Southern NSW LHD, 2005-2006, Weekly,578,32.2,27.6,36.9
 Females, Southern NSW LHD, 2005-2006, Daily,578,9.8,7.3,12.3
 Females, Southern NSW LHD, 2006-2007, Never,440,34.4,28.2,40.6
 Females, Southern NSW LHD, 2006-2007, Less than weekly,440,22.6,17.5,27.6
 Females, Southern NSW LHD, 2006-2007, Weekly,440,31.7,26.3,37.1
 Females, Southern NSW LHD, 2006-2007, Daily,440,11.3,8.3,14.4
 Females, Southern NSW LHD, 2007-2008, Never,486,29.3,24.6,34.1
 Females, Southern NSW LHD, 2007-2008, Less than weekly,486,25.9,20.9,31
 Females, Southern NSW LHD, 2007-2008, Weekly,486,33.9,28.7,39.1
 Females, Southern NSW LHD, 2007-2008, Daily,486,10.8,7.9,13.7
 Females, Southern NSW LHD, 2008-2009, Never,581,31,26.5,35.4
 Females, Southern NSW LHD, 2008-2009, Less than weekly,581,23.1,18.7,27.4
 Females, Southern NSW LHD, 2008-2009, Weekly,581,35.7,30.9,40.4
 Females, Southern NSW LHD, 2008-2009, Daily,581,10.3,7.7,12.9
 Females, Southern NSW LHD, 2009-2010, Never,623,33.8,28.8,38.7
 Females, Southern NSW LHD, 2009-2010, Less than weekly,623,21.4,17.2,25.6
 Females, Southern NSW LHD, 2009-2010, Weekly,623,35.5,30.6,40.5
 Females, Southern NSW LHD, 2009-2010, Daily,623,9.3,7,11.6
 Females, Southern NSW LHD, 2010-2011, Never,877,32,27.4,36.5
 Females, Southern NSW LHD, 2010-2011, Less than weekly,877,26.7,22.5,30.8
 Females, Southern NSW LHD, 2010-2011, Weekly,877,31.6,27.2,36.1
 Females, Southern NSW LHD, 2010-2011, Daily,877,9.7,7.7,11.8
 Females, Southern NSW LHD, 2011-2012, Never,"1,079",28.3,24.3,32.2
 Females, Southern NSW LHD, 2011-2012, Less than weekly,"1,079",31.2,26.8,35.7
 Females, Southern NSW LHD, 2011-2012, Weekly,"1,079",29.6,25.6,33.6
 Females, Southern NSW LHD, 2011-2012, Daily,"1,079",10.9,8,13.8
 Females, Southern NSW LHD, 2012-2013, Never,949,26.5,22.2,30.8
 Females, Southern NSW LHD, 2012-2013, Less than weekly,949,31.3,26,36.6
 Females, Southern NSW LHD, 2012-2013, Weekly,949,31.4,26.3,36.4
 Females, Southern NSW LHD, 2012-2013, Daily,949,10.8,7.8,13.9
 Females, Southern NSW LHD, 2013-2014, Never,879,25.7,20.4,30.9
 Females, Southern NSW LHD, 2013-2014, Less than weekly,879,34.6,28.1,41.2
 Females, Southern NSW LHD, 2013-2014, Weekly,879,31.2,25.7,36.7
 Females, Southern NSW LHD, 2013-2014, Daily,879,8.5,6.2,10.7
 Females, Southern NSW LHD, 2014-2015, Never,903,29.1,23,35.2
 Females, Southern NSW LHD, 2014-2015, Less than weekly,903,32.7,25.8,39.5
 Females, Southern NSW LHD, 2014-2015, Weekly,903,32.5,26.8,38.1
 Females, Southern NSW LHD, 2014-2015, Daily,903,5.8,4.1,7.4
 Females, Southern NSW LHD, 2015-2016, Never,994,30.3,24.2,36.3
 Females, Southern NSW LHD, 2015-2016, Less than weekly,994,28.3,22.1,34.4
 Females, Southern NSW LHD, 2015-2016, Weekly,994,34.4,28.3,40.4
 Females, Southern NSW LHD, 2015-2016, Daily,994,7.1,4.6,9.6
 Females, Southern NSW LHD, 2016-2017, Never,999,30.4,24.3,36.6
 Females, Southern NSW LHD, 2016-2017, Less than weekly,999,29.3,23.2,35.4
 Females, Southern NSW LHD, 2016-2017, Weekly,999,33.2,27,39.4
 Females, Southern NSW LHD, 2016-2017, Daily,999,7,4.6,9.5
 Females, Murrumbidgee LHD, 2002-2003, Never,787,30.9,27.4,34.4
 Females, Murrumbidgee LHD, 2002-2003, Less than weekly,787,32.6,29,36.3
 Females, Murrumbidgee LHD, 2002-2003, Weekly,787,28.8,25.2,32.5
 Females, Murrumbidgee LHD, 2002-2003, Daily,787,7.7,5.8,9.5
 Females, Murrumbidgee LHD, 2003-2004, Never,690,31.9,28.1,35.8
 Females, Murrumbidgee LHD, 2003-2004, Less than weekly,690,33.7,29.6,37.9
 Females, Murrumbidgee LHD, 2003-2004, Weekly,690,27.3,23.5,31.1
 Females, Murrumbidgee LHD, 2003-2004, Daily,690,7,5.2,8.9
 Females, Murrumbidgee LHD, 2004-2005, Never,752,35.2,31.3,39.1
 Females, Murrumbidgee LHD, 2004-2005, Less than weekly,752,31.4,27.3,35.5
 Females, Murrumbidgee LHD, 2004-2005, Weekly,752,26.4,22.6,30.1
 Females, Murrumbidgee LHD, 2004-2005, Daily,752,7,5.3,8.8
 Females, Murrumbidgee LHD, 2005-2006, Never,745,37.4,33.1,41.7
 Females, Murrumbidgee LHD, 2005-2006, Less than weekly,745,27,22.8,31.2
 Females, Murrumbidgee LHD, 2005-2006, Weekly,745,27.9,23.6,32.2
 Females, Murrumbidgee LHD, 2005-2006, Daily,745,7.7,5.7,9.6
 Females, Murrumbidgee LHD, 2006-2007, Never,565,37.5,32.4,42.6
 Females, Murrumbidgee LHD, 2006-2007, Less than weekly,565,23.8,19,28.5
 Females, Murrumbidgee LHD, 2006-2007, Weekly,565,31.8,26.6,36.9
 Females, Murrumbidgee LHD, 2006-2007, Daily,565,7,4.8,9.1
 Females, Murrumbidgee LHD, 2007-2008, Never,589,36.7,32,41.3
 Females, Murrumbidgee LHD, 2007-2008, Less than weekly,589,27.1,22.4,31.9
 Females, Murrumbidgee LHD, 2007-2008, Weekly,589,30.1,25.7,34.5
 Females, Murrumbidgee LHD, 2007-2008, Daily,589,6.1,4.3,8
 Females, Murrumbidgee LHD, 2008-2009, Never,698,34.4,30.2,38.6
 Females, Murrumbidgee LHD, 2008-2009, Less than weekly,698,28.9,24.5,33.3
 Females, Murrumbidgee LHD, 2008-2009, Weekly,698,29.8,25.8,33.8
 Females, Murrumbidgee LHD, 2008-2009, Daily,698,6.9,4.9,8.9
 Females, Murrumbidgee LHD, 2009-2010, Never,753,34.9,30.8,39.1
 Females, Murrumbidgee LHD, 2009-2010, Less than weekly,753,26.5,22.2,30.8
 Females, Murrumbidgee LHD, 2009-2010, Weekly,753,30.9,26.8,35
 Females, Murrumbidgee LHD, 2009-2010, Daily,753,7.7,5.5,9.9
 Females, Murrumbidgee LHD, 2010-2011, Never,888,32.9,29,36.8
 Females, Murrumbidgee LHD, 2010-2011, Less than weekly,888,29.1,24.8,33.3
 Females, Murrumbidgee LHD, 2010-2011, Weekly,888,30.7,26.7,34.8
 Females, Murrumbidgee LHD, 2010-2011, Daily,888,7.3,5.3,9.3
 Females, Murrumbidgee LHD, 2011-2012, Never,"1,022",34.1,29.7,38.5
 Females, Murrumbidgee LHD, 2011-2012, Less than weekly,"1,022",31.1,26.4,35.7
 Females, Murrumbidgee LHD, 2011-2012, Weekly,"1,022",28.9,24.3,33.4
 Females, Murrumbidgee LHD, 2011-2012, Daily,"1,022",5.9,4.4,7.5
 Females, Murrumbidgee LHD, 2012-2013, Never,980,33,28.2,37.7
 Females, Murrumbidgee LHD, 2012-2013, Less than weekly,980,32.6,27.4,37.7
 Females, Murrumbidgee LHD, 2012-2013, Weekly,980,29.2,24,34.3
 Females, Murrumbidgee LHD, 2012-2013, Daily,980,5.3,3.6,7
 Females, Murrumbidgee LHD, 2013-2014, Never,948,39.8,34,45.5
 Females, Murrumbidgee LHD, 2013-2014, Less than weekly,948,28.4,23.3,33.5
 Females, Murrumbidgee LHD, 2013-2014, Weekly,948,27,22,32
 Females, Murrumbidgee LHD, 2013-2014, Daily,948,4.8,3.2,6.5
 Females, Murrumbidgee LHD, 2014-2015, Never,982,45.4,39.3,51.4
 Females, Murrumbidgee LHD, 2014-2015, Less than weekly,982,22.6,18.2,27
 Females, Murrumbidgee LHD, 2014-2015, Weekly,982,27.2,22.1,32.3
 Females, Murrumbidgee LHD, 2014-2015, Daily,982,4.8,3.1,6.4
 Females, Murrumbidgee LHD, 2015-2016, Never,"1,063",42.2,35.7,48.7
 Females, Murrumbidgee LHD, 2015-2016, Less than weekly,"1,063",23.4,18.9,28
 Females, Murrumbidgee LHD, 2015-2016, Weekly,"1,063",29.1,23.6,34.6
 Females, Murrumbidgee LHD, 2015-2016, Daily,"1,063",5.3,3.4,7.1
 Females, Murrumbidgee LHD, 2016-2017, Never,"1,059",38.5,31.3,45.7
 Females, Murrumbidgee LHD, 2016-2017, Less than weekly,"1,059",24.3,19,29.6
 Females, Murrumbidgee LHD, 2016-2017, Weekly,"1,059",31.6,25.4,37.8
 Females, Murrumbidgee LHD, 2016-2017, Daily,"1,059",5.6,3.4,7.7
 Females, Western NSW LHD, 2002-2003, Never,"1,944",32.1,29.8,34.5
 Females, Western NSW LHD, 2002-2003, Less than weekly,"1,944",33.4,30.9,35.9
 Females, Western NSW LHD, 2002-2003, Weekly,"1,944",27.1,24.9,29.4
 Females, Western NSW LHD, 2002-2003, Daily,"1,944",7.3,6.2,8.5
 Females, Western NSW LHD, 2003-2004, Never,"1,802",32.1,29.7,34.5
 Females, Western NSW LHD, 2003-2004, Less than weekly,"1,802",33,30.3,35.6
 Females, Western NSW LHD, 2003-2004, Weekly,"1,802",27.4,25,29.8
 Females, Western NSW LHD, 2003-2004, Daily,"1,802",7.6,6.3,8.8
 Females, Western NSW LHD, 2004-2005, Never,"1,533",37.4,34.7,40.1
 Females, Western NSW LHD, 2004-2005, Less than weekly,"1,533",29.1,26.4,31.8
 Females, Western NSW LHD, 2004-2005, Weekly,"1,533",26.5,24,29
 Females, Western NSW LHD, 2004-2005, Daily,"1,533",7,5.7,8.3
 Females, Western NSW LHD, 2005-2006, Never,"1,285",39.1,36,42.2
 Females, Western NSW LHD, 2005-2006, Less than weekly,"1,285",27.5,24.5,30.6
 Females, Western NSW LHD, 2005-2006, Weekly,"1,285",26.2,23.3,29.1
 Females, Western NSW LHD, 2005-2006, Daily,"1,285",7.2,5.8,8.6
 Females, Western NSW LHD, 2006-2007, Never,975,37.5,33.9,41
 Females, Western NSW LHD, 2006-2007, Less than weekly,975,27.5,23.9,31.1
 Females, Western NSW LHD, 2006-2007, Weekly,975,28.2,24.8,31.6
 Females, Western NSW LHD, 2006-2007, Daily,975,6.8,5.3,8.4
 Females, Western NSW LHD, 2007-2008, Never,"1,032",38.3,34.9,41.6
 Females, Western NSW LHD, 2007-2008, Less than weekly,"1,032",28.8,25.5,32.1
 Females, Western NSW LHD, 2007-2008, Weekly,"1,032",26.1,23,29.1
 Females, Western NSW LHD, 2007-2008, Daily,"1,032",6.8,5.3,8.3
 Females, Western NSW LHD, 2008-2009, Never,"1,279",37.8,34.8,40.8
 Females, Western NSW LHD, 2008-2009, Less than weekly,"1,279",28,25,30.9
 Females, Western NSW LHD, 2008-2009, Weekly,"1,279",27.5,24.6,30.3
 Females, Western NSW LHD, 2008-2009, Daily,"1,279",6.8,5.4,8.1
 Females, Western NSW LHD, 2009-2010, Never,"1,428",38.4,35.3,41.4
 Females, Western NSW LHD, 2009-2010, Less than weekly,"1,428",27.2,24.2,30.3
 Females, Western NSW LHD, 2009-2010, Weekly,"1,428",28.4,25.5,31.3
 Females, Western NSW LHD, 2009-2010, Daily,"1,428",6,4.8,7.2
 Females, Western NSW LHD, 2010-2011, Never,"1,223",37.6,34.1,41.2
 Females, Western NSW LHD, 2010-2011, Less than weekly,"1,223",30.5,26.7,34.3
 Females, Western NSW LHD, 2010-2011, Weekly,"1,223",25.3,22.1,28.5
 Females, Western NSW LHD, 2010-2011, Daily,"1,223",6.6,5.3,8
 Females, Western NSW LHD, 2011-2012, Never,"1,056",37.6,33.1,42.1
 Females, Western NSW LHD, 2011-2012, Less than weekly,"1,056",31.1,26.6,35.6
 Females, Western NSW LHD, 2011-2012, Weekly,"1,056",25.4,21.2,29.6
 Females, Western NSW LHD, 2011-2012, Daily,"1,056",5.9,4.4,7.4
 Females, Western NSW LHD, 2012-2013, Never,"1,034",38.1,33.3,43
 Females, Western NSW LHD, 2012-2013, Less than weekly,"1,034",31,26.4,35.7
 Females, Western NSW LHD, 2012-2013, Weekly,"1,034",25.9,21.4,30.4
 Females, Western NSW LHD, 2012-2013, Daily,"1,034",5,3.3,6.6
 Females, Western NSW LHD, 2013-2014, Never,905,38.5,33.4,43.6
 Females, Western NSW LHD, 2013-2014, Less than weekly,905,30.8,25.2,36.4
 Females, Western NSW LHD, 2013-2014, Weekly,905,25.1,20.4,29.8
 Females, Western NSW LHD, 2013-2014, Daily,905,5.6,3.7,7.5
 Females, Western NSW LHD, 2014-2015, Never,923,36.5,31.5,41.4
 Females, Western NSW LHD, 2014-2015, Less than weekly,923,31.6,25.8,37.3
 Females, Western NSW LHD, 2014-2015, Weekly,923,26.9,22.2,31.6
 Females, Western NSW LHD, 2014-2015, Daily,923,5.1,3.3,6.8
 Females, Western NSW LHD, 2015-2016, Never,"1,061",31,26.3,35.7
 Females, Western NSW LHD, 2015-2016, Less than weekly,"1,061",33.1,27.4,38.8
 Females, Western NSW LHD, 2015-2016, Weekly,"1,061",28.9,23.9,33.9
 Females, Western NSW LHD, 2015-2016, Daily,"1,061",7,4.4,9.5
 Females, Western NSW LHD, 2016-2017, Never,"1,050",29.9,24.8,35
 Females, Western NSW LHD, 2016-2017, Less than weekly,"1,050",30.8,24.7,37
 Females, Western NSW LHD, 2016-2017, Weekly,"1,050",32.9,27.1,38.7
 Females, Western NSW LHD, 2016-2017, Daily,"1,050",6.4,3.8,9
