 Sex, Local Health Districts, year, Drinking frequency, Number of Respondents, Actual estimate (Per cent), LL 95% CI, UL 95% CI
 Males, South Eastern Sydney LHD, 2002-2003, Never,553,17.9,14.5,21.3
 Males, South Eastern Sydney LHD, 2002-2003, Less than weekly,553,20.4,16.8,24.1
 Males, South Eastern Sydney LHD, 2002-2003, Weekly,553,49.3,44.8,53.9
 Males, South Eastern Sydney LHD, 2002-2003, Daily,553,12.4,9.6,15.2
 Males, South Eastern Sydney LHD, 2003-2004, Never,466,17.6,13.8,21.5
 Males, South Eastern Sydney LHD, 2003-2004, Less than weekly,466,20.4,16.3,24.5
 Males, South Eastern Sydney LHD, 2003-2004, Weekly,466,48.7,43.4,53.9
 Males, South Eastern Sydney LHD, 2003-2004, Daily,466,13.3,9.8,16.8
 Males, South Eastern Sydney LHD, 2004-2005, Never,513,17.5,13.8,21.3
 Males, South Eastern Sydney LHD, 2004-2005, Less than weekly,513,20.7,16.6,24.9
 Males, South Eastern Sydney LHD, 2004-2005, Weekly,513,48.6,43.4,53.8
 Males, South Eastern Sydney LHD, 2004-2005, Daily,513,13.2,9.7,16.6
 Males, South Eastern Sydney LHD, 2005-2006, Never,543,19,15.4,22.6
 Males, South Eastern Sydney LHD, 2005-2006, Less than weekly,543,22.6,18.2,26.9
 Males, South Eastern Sydney LHD, 2005-2006, Weekly,543,47.5,42.6,52.5
 Males, South Eastern Sydney LHD, 2005-2006, Daily,543,11,8.4,13.6
 Males, South Eastern Sydney LHD, 2006-2007, Never,412,19.7,15.3,24
 Males, South Eastern Sydney LHD, 2006-2007, Less than weekly,412,25.4,20.2,30.6
 Males, South Eastern Sydney LHD, 2006-2007, Weekly,412,45.7,39.9,51.4
 Males, South Eastern Sydney LHD, 2006-2007, Daily,412,9.2,6.5,11.9
 Males, South Eastern Sydney LHD, 2007-2008, Never,436,24,19,28.9
 Males, South Eastern Sydney LHD, 2007-2008, Less than weekly,436,24.9,19.6,30.1
 Males, South Eastern Sydney LHD, 2007-2008, Weekly,436,39.5,33.7,45.3
 Males, South Eastern Sydney LHD, 2007-2008, Daily,436,11.7,8.5,14.8
 Males, South Eastern Sydney LHD, 2008-2009, Never,540,25.8,21.1,30.5
 Males, South Eastern Sydney LHD, 2008-2009, Less than weekly,540,22.2,17.5,26.8
 Males, South Eastern Sydney LHD, 2008-2009, Weekly,540,40.7,35.4,46.1
 Males, South Eastern Sydney LHD, 2008-2009, Daily,540,11.3,8.6,14
 Males, South Eastern Sydney LHD, 2009-2010, Never,538,23.2,18.1,28.3
 Males, South Eastern Sydney LHD, 2009-2010, Less than weekly,538,23.1,18.1,28.2
 Males, South Eastern Sydney LHD, 2009-2010, Weekly,538,44.5,38.6,50.5
 Males, South Eastern Sydney LHD, 2009-2010, Daily,538,9.1,6.9,11.3
 Males, South Eastern Sydney LHD, 2010-2011, Never,568,20.7,15.6,25.7
 Males, South Eastern Sydney LHD, 2010-2011, Less than weekly,568,27.8,22.3,33.3
 Males, South Eastern Sydney LHD, 2010-2011, Weekly,568,41.3,35.3,47.3
 Males, South Eastern Sydney LHD, 2010-2011, Daily,568,10.2,7.7,12.7
 Males, South Eastern Sydney LHD, 2011-2012, Never,657,23.3,18.8,27.9
 Males, South Eastern Sydney LHD, 2011-2012, Less than weekly,657,27.5,22.2,32.8
 Males, South Eastern Sydney LHD, 2011-2012, Weekly,657,37.1,31.9,42.3
 Males, South Eastern Sydney LHD, 2011-2012, Daily,657,12.1,8.2,16
 Males, South Eastern Sydney LHD, 2012-2013, Never,718,26.1,21.6,30.6
 Males, South Eastern Sydney LHD, 2012-2013, Less than weekly,718,23.4,18.6,28.2
 Males, South Eastern Sydney LHD, 2012-2013, Weekly,718,40,34.9,45.1
 Males, South Eastern Sydney LHD, 2012-2013, Daily,718,10.5,6.9,14
 Males, South Eastern Sydney LHD, 2013-2014, Never,736,25.5,21.4,29.7
 Males, South Eastern Sydney LHD, 2013-2014, Less than weekly,736,25.1,20.9,29.2
 Males, South Eastern Sydney LHD, 2013-2014, Weekly,736,41.2,36.5,45.9
 Males, South Eastern Sydney LHD, 2013-2014, Daily,736,8.2,6,10.4
 Males, South Eastern Sydney LHD, 2014-2015, Never,738,26.6,21.8,31.5
 Males, South Eastern Sydney LHD, 2014-2015, Less than weekly,738,26.9,22.3,31.5
 Males, South Eastern Sydney LHD, 2014-2015, Weekly,738,39.6,34.2,45
 Males, South Eastern Sydney LHD, 2014-2015, Daily,738,6.8,4.8,8.9
 Males, South Eastern Sydney LHD, 2015-2016, Never,784,24,19.5,28.6
 Males, South Eastern Sydney LHD, 2015-2016, Less than weekly,784,23.4,19.1,27.6
 Males, South Eastern Sydney LHD, 2015-2016, Weekly,784,47,41.8,52.1
 Males, South Eastern Sydney LHD, 2015-2016, Daily,784,5.6,3.9,7.4
 Males, South Eastern Sydney LHD, 2016-2017, Never,809,15.8,12.9,18.8
 Males, South Eastern Sydney LHD, 2016-2017, Less than weekly,809,20.5,17.2,23.7
 Males, South Eastern Sydney LHD, 2016-2017, Weekly,809,54.4,50.3,58.5
 Males, South Eastern Sydney LHD, 2016-2017, Daily,809,9.3,6.9,11.7
 Males, Illawarra Shoalhaven LHD, 2002-2003, Never,652,14.4,11.5,17.3
 Males, Illawarra Shoalhaven LHD, 2002-2003, Less than weekly,652,24.9,21.1,28.7
 Males, Illawarra Shoalhaven LHD, 2002-2003, Weekly,652,46.1,41.9,50.3
 Males, Illawarra Shoalhaven LHD, 2002-2003, Daily,652,14.7,12,17.3
 Males, Illawarra Shoalhaven LHD, 2003-2004, Never,558,16,12.5,19.5
 Males, Illawarra Shoalhaven LHD, 2003-2004, Less than weekly,558,22.1,18,26.3
 Males, Illawarra Shoalhaven LHD, 2003-2004, Weekly,558,44.8,40,49.6
 Males, Illawarra Shoalhaven LHD, 2003-2004, Daily,558,17,13.6,20.4
 Males, Illawarra Shoalhaven LHD, 2004-2005, Never,398,19.4,13.9,25
 Males, Illawarra Shoalhaven LHD, 2004-2005, Less than weekly,398,19.9,14.9,24.9
 Males, Illawarra Shoalhaven LHD, 2004-2005, Weekly,398,43,36.9,49.2
 Males, Illawarra Shoalhaven LHD, 2004-2005, Daily,398,17.6,12.6,22.7
 Males, Illawarra Shoalhaven LHD, 2005-2006, Never,313,19,13.2,24.8
 Males, Illawarra Shoalhaven LHD, 2005-2006, Less than weekly,313,19.8,14.5,25.1
 Males, Illawarra Shoalhaven LHD, 2005-2006, Weekly,313,44.7,37.5,52
 Males, Illawarra Shoalhaven LHD, 2005-2006, Daily,313,16.5,11.1,21.9
 Males, Illawarra Shoalhaven LHD, 2006-2007, Never,258,18.1,12.9,23.2
 Males, Illawarra Shoalhaven LHD, 2006-2007, Less than weekly,258,22.8,16.8,28.8
 Males, Illawarra Shoalhaven LHD, 2006-2007, Weekly,258,44.6,36.8,52.4
 Males, Illawarra Shoalhaven LHD, 2006-2007, Daily,258,14.5,9.8,19.3
 Males, Illawarra Shoalhaven LHD, 2007-2008, Never,288,16.2,11.7,20.8
 Males, Illawarra Shoalhaven LHD, 2007-2008, Less than weekly,288,20.2,14.5,25.8
 Males, Illawarra Shoalhaven LHD, 2007-2008, Weekly,288,51.3,44.4,58.2
 Males, Illawarra Shoalhaven LHD, 2007-2008, Daily,288,12.3,8.6,15.9
 Males, Illawarra Shoalhaven LHD, 2008-2009, Never,374,16,11.2,20.9
 Males, Illawarra Shoalhaven LHD, 2008-2009, Less than weekly,374,22.4,16.5,28.3
 Males, Illawarra Shoalhaven LHD, 2008-2009, Weekly,374,51,44.1,57.9
 Males, Illawarra Shoalhaven LHD, 2008-2009, Daily,374,10.6,7.7,13.6
 Males, Illawarra Shoalhaven LHD, 2009-2010, Never,401,20.5,15.5,25.6
 Males, Illawarra Shoalhaven LHD, 2009-2010, Less than weekly,401,22.7,17,28.5
 Males, Illawarra Shoalhaven LHD, 2009-2010, Weekly,401,46.5,39.8,53.2
 Males, Illawarra Shoalhaven LHD, 2009-2010, Daily,401,10.3,7.2,13.3
 Males, Illawarra Shoalhaven LHD, 2010-2011, Never,526,20.7,16.3,25
 Males, Illawarra Shoalhaven LHD, 2010-2011, Less than weekly,526,20.3,15.7,24.9
 Males, Illawarra Shoalhaven LHD, 2010-2011, Weekly,526,45.5,39.8,51.3
 Males, Illawarra Shoalhaven LHD, 2010-2011, Daily,526,13.5,10.1,16.9
 Males, Illawarra Shoalhaven LHD, 2011-2012, Never,651,18.3,14.4,22.3
 Males, Illawarra Shoalhaven LHD, 2011-2012, Less than weekly,651,23.5,19.1,27.8
 Males, Illawarra Shoalhaven LHD, 2011-2012, Weekly,651,44.3,38.9,49.7
 Males, Illawarra Shoalhaven LHD, 2011-2012, Daily,651,13.9,10.5,17.2
 Males, Illawarra Shoalhaven LHD, 2012-2013, Never,631,19,14.9,23
 Males, Illawarra Shoalhaven LHD, 2012-2013, Less than weekly,631,25.7,21.1,30.4
 Males, Illawarra Shoalhaven LHD, 2012-2013, Weekly,631,43.6,38,49.1
 Males, Illawarra Shoalhaven LHD, 2012-2013, Daily,631,11.8,8.5,15
 Males, Illawarra Shoalhaven LHD, 2013-2014, Never,633,17.3,13.5,21.2
 Males, Illawarra Shoalhaven LHD, 2013-2014, Less than weekly,633,27.2,22,32.5
 Males, Illawarra Shoalhaven LHD, 2013-2014, Weekly,633,43.3,37.7,48.9
 Males, Illawarra Shoalhaven LHD, 2013-2014, Daily,633,12.1,8.9,15.3
 Males, Illawarra Shoalhaven LHD, 2014-2015, Never,725,15,11.2,18.8
 Males, Illawarra Shoalhaven LHD, 2014-2015, Less than weekly,725,27.4,20.5,34.3
 Males, Illawarra Shoalhaven LHD, 2014-2015, Weekly,725,45.9,39.5,52.3
 Males, Illawarra Shoalhaven LHD, 2014-2015, Daily,725,11.7,8.5,14.8
 Males, Illawarra Shoalhaven LHD, 2015-2016, Never,772,16.5,12,20.9
 Males, Illawarra Shoalhaven LHD, 2015-2016, Less than weekly,772,27.1,20.2,34
 Males, Illawarra Shoalhaven LHD, 2015-2016, Weekly,772,44.6,38.3,50.9
 Males, Illawarra Shoalhaven LHD, 2015-2016, Daily,772,11.8,8.8,14.8
 Males, Illawarra Shoalhaven LHD, 2016-2017, Never,756,15.9,11.5,20.4
 Males, Illawarra Shoalhaven LHD, 2016-2017, Less than weekly,756,26,20.6,31.3
 Males, Illawarra Shoalhaven LHD, 2016-2017, Weekly,756,44.8,39.2,50.5
 Males, Illawarra Shoalhaven LHD, 2016-2017, Daily,756,13.3,10,16.6
 Males, Western Sydney LHD, 2002-2003, Never,588,21.9,18.2,25.5
 Males, Western Sydney LHD, 2002-2003, Less than weekly,588,26.8,22.8,30.8
 Males, Western Sydney LHD, 2002-2003, Weekly,588,43.6,39.2,48.1
 Males, Western Sydney LHD, 2002-2003, Daily,588,7.7,5.8,9.7
 Males, Western Sydney LHD, 2003-2004, Never,536,23.3,19.3,27.3
 Males, Western Sydney LHD, 2003-2004, Less than weekly,536,28.2,24,32.5
 Males, Western Sydney LHD, 2003-2004, Weekly,536,39.7,35.1,44.2
 Males, Western Sydney LHD, 2003-2004, Daily,536,8.8,6.5,11.1
 Males, Western Sydney LHD, 2004-2005, Never,580,27.5,23.4,31.5
 Males, Western Sydney LHD, 2004-2005, Less than weekly,580,25.4,21.5,29.4
 Males, Western Sydney LHD, 2004-2005, Weekly,580,38.2,33.8,42.6
