LGA/Ring/SD NAME,Mar-90,,Jun-90,,Sep-90,,Dec-90,,Mar-91,,Jun-91,,Sep-91,,Dec-91,,Mar-92,,Jun-92,,Sep-92,,Dec-92,,Mar-93,,Jun-93,,Sep-93,,Dec-93,,Mar-94,,Jun-94,,Sep-94,,Dec-94,,Mar-95,,Jun-95,,Sep-95,,Dec-95,,Mar-96,,Jun-96,,Sep-96,,Dec-96,,Mar-97,,Jun-97,,Sep-97,,Dec-97,,Mar-98,,Jun-98,,Sep-98,,Dec-98,,Mar-99,,Jun-99,,Sep-99,,Dec-99,,Mar-00,,Jun-00,,Sep-00,,Dec-00,,Mar-01,,Jun-01,,Sep-01,,Dec-01,,Mar-02,,Jun-02,,Sep-02,,Dec-02,,Mar-03,,Jun-03,,Sep-03,,Dec-03,,Mar-04,,Jun-04,,Sep-04,,Dec-04,,Mar-05,,Jun-05,,Sep-05,,Dec-05,,Mar-06,,Jun-06,,Sep-06,,Dec-06,,Mar-07,,Jun-07,,Sep-07,,Dec-07,,Mar-08,,Jun-08,,Sep-08,,Dec-08,,Mar-09,,Jun-09,,Sep-09,,Dec-09,,Mar-10,,Jun-10,,Sep-10,,Dec-10,,Mar-11,,Jun-11,,Sep-11,,Dec-11,,Mar-12,,Jun-12,,Sep-12,,Dec-12,,Mar-13,,Jun-13,,Sep-13,,Dec-13,,Mar-14,,Jun-14,,Sep-14,,Dec-14,,Mar-15,,Jun-15,,Sep-15,,Dec-15,,Mar-16,,,Jun-16,,Sep-16,,Dec-16,,Mar-17,,Jun-17,
Camden,-,,-,,100,s,-,,-,,105,s,-,,110,s,-,,100,s,-,,-,,-,,-,,100,s,-,,-,,115,s,-,,-,,120,s,100,s,100,s,100,s,110,s,100,s,-,,100,s,-,,-,,-,,-,,-,,-,,110,s,-,,110,s,-,,-,,-,,-,,-,,-,,-,,130,s,142.5,s,130,s,-,,145,s,145,s,147.5,s,-,,-,,150,s,160,s,-,,157.5,s,-,,-,,152.5,s,-,,160,s,160,s,155,s,-,,-,,-,,-,,165,s,-,,-,,-,,-,,-,,200,s,-,,205,s,-,,230,s,195,s,-,,-,,210,s,-,,250,s,-,,-,,270,s,250,s,265,s,250,s,250,s,-,,250,s,277.5,s,250,s,-,,-,,-,,340,s,-,,300,s,-,,320,s,-,,,295,s,320,s,300,s,310,s,330,s
Campbelltown,110,s,110,s,110,s,102.5,s,110,s,110,s,110,s,110,s,110,s,-,,112.5,s,-,,110,s,-,,100,s,100,s,-,,100,s,100,s,90,s,100,s,100,s,100,s,112.5,s,110,s,110,s,110,s,110,s,-,,110,s,110,s,100,s,110,s,110,s,120,s,115,s,110,s,110,s,110,s,120,s,115,s,110,s,120,,125,s,115,s,130,s,117.5,s,122.5,s,125,s,140,s,135,s,142.5,s,130,s,132.5,s,132.5,s,140,s,125,s,137.5,s,145,s,130,s,120,s,145,s,-,,130,s,145,s,140,s,135,s,145,s,135,s,150,s,165,s,162.5,s,157.5,s,-,,192.5,s,170,s,220,s,210,s,200,s,205,s,200,s,235,s,250,,245,s,250,s,230,s,250,,260,,295,,250,,255,,250,s,250,s,270,s,250,,300,s,297.5,s,270,,240,,250,,255,,267.5,,250,,300,,270,,,290, ,280, ,295,s,290,,280,
Fairfield,100,,100,,100,,100,,100,,100,,100,,105,,105,,102.5,,100,,100,,100,,100,,105,,105,,105,,105,,105,,105,,105,,105,,105,,110,,110,,120,,115,,118,,110,,105,,110,,110,,110,,110,,110,,115,,115,,115,,120,,120,,120,,120,,125,,120,,125,,120,,130,,125,,130,,125,,130,,130,,130,,130,,125,,130,,130,,130,,125,,140,,132.5,,140,,135,,140,,140,,140,,140,,145,,140,,150,,152.5,,160,,150,,175,,175,,190,,185,,200,,190,,200,,200,,200,,220,,220,,220,,210,,200,,220,,220,,230,,225,,227.5,,230,,230,,235,,250,,250,,250,,250,,250,,240,,259.15,,270,,257.5,,250,,,250, ,270, ,260,,270,,280,
Gosford,100,,90,,95,,100,,100,,100,,95,,100,,100,,100,,100,,105,,100,,100,,100,,100,,100,,105,,107.5,,105,,105.5,,107.5,,110,,105,,110,,110,,110,,115,,115,,115,,110,,120,,120,,120,,120,,120,,120,,120,,125,,120,,120,,120,,125,,125,,125,,125,,125,,125,,130,,125,,125,,130,,130,,130,,130,,135,,135,,140,,130,,140,,135,,140,,140,,140,,150,,150,,150,,150,,150,,150,,155,,160,,157.5,,165,,160,,180,,165,,175,,185,,180,,170,,190,,195,,200,,210,,190,,200,,210,,200,,220,,220,,230,,240,,240,,230,,230,,250,,240,,250,,240,,250,,260,,250,,265,,265,,,270, ,270, ,280,,280,,280,
Hawkesbury,100,s,100,s,95,s,100,s,90,s,100,s,90,s,90,s,100,s,100,s,100,s,100,s,105,s,100,s,100,s,90,s,110,s,95,s,87.5,s,90,s,100,s,100,s,97.5,s,100,s,100,s,115,s,100,s,120,s,102.5,s,100,s,100,s,110,s,112.5,,100,s,110,s,105,s,115,s,117.5,s,120,s,125,s,120,s,122.5,s,130,s,132.5,s,110,s,127.5,s,130,s,110,s,150,s,140,s,130,s,130,s,130,s,130,,160,,172.5,s,160,,160,,155,,155,s,152.5,s,150,s,130,s,152.5,s,157.5,s,160,s,150,s,140,s,120,s,165,s,160,s,-,,162.5,s,170,s,180,s,175,s,-,,182.5,s,200,s,182.5,s,-,,175,s,185,s,227.5,s,215,s,225,s,235,s,250,s,250,s,250,s,200,s,245,s,-,,250,s,220,s,217.5,s,250,s,230,s,237.5,s,232.5,s,240,s,280,s,242.5,s,260,s,280,s,,280,s,250,s,277.5,s,260,s,280,s
Holroyd,100,,95,,100,,100,,100,,100,,115,,110,,112.5,,110,,110,,100,,110,,110,,105,,105,,110,,100,,100,,105,,110,,110,,117.5,,115,,120,,120,,120,,120,,120,,120,,120,,125,,120,,125,,120,,130,,125,,125,,135,,135,,135,,140,,140,,140,,145,,140,,130,,137.5,,147.5,,147.5,,140,,140,,145,,145,,137.5,,142.5,,147.5,,145,,140,,155,,150,,150,,150,,150,,152.5,s,160,,150,,150,s,175,,160,,182.5,,180,,200,,185,,215,,220,,217.5,,200,,192.5,,220,,225,,220,,210,,222.5,,250,,250,,250,,270,,260,,265,,260,,265,,270,,280,,270,,280,,270,,285,,290,,290,,302.5,,300,,285,,315,,300,,,320, ,320, ,317.5,,345,,370,
Hornsby,140,,125,,135,,135,,125,,130,,135,,130,,132.5,,130,,140,,135,,130,,140,,135,,135,,135,,132.5,,140,,135,,140,,135,,145,,145,,150,,155,,155,,150,,160,,160,,160,,150,,160,,165,,165,,162.5,,170,,175,,175,,180,,175,,180,,175,,190,,180.725,,197.5,,185,,190,,210,,200,,202.5,,210,,225,,230,,215,,242.5,,227.5,,250,,240,,230,,250,,250,,257.5,,252.5,,240,,265,,265,,265,,285,,280,,260,,292.5,,290,,295,,300,,320,,330,,320,,320,,325,,340,,350,,342.5,,345,,360,,370,,345,,345,,360,,360,,365,,370,,367.5,,380,,357.5,,360,,390,,390,,395,,390,,390,,380,,400,,390,,420,,,410, ,400, ,430,,425,,430,
Liverpool,100,,100,,100,,100,,95,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,105,,100,,100,,100,,100,,105,,100,,105,,105,,105,,110,,110,,110,,110,,105,,115,,110,,115,,120,,115,,115,,115,,120,,120,,120,,120,,125,,130,,130,,135,,130,,125,,132.5,,130,,135,,120,,140,,135,,135,,127.5,,127.5,,130,,110,,125,,130,,135,,140,,140,,140,,140,,137.5,,155,,150,,145,s,150,,167.5,s,155,,177.5,,165,,195,,187.5,,190,,190,,190,,200,,200,,220,,210,,245,,220,,240,,240,,260,,250,,250,,250,,250,,250,,245,,250,,260,,250,,265,,260,,270,,270,,282.5,,297.5,,340,,,290, ,290, ,295,,297.5,,340,
Penrith,100,,100,,95,,100,,100,,105,,95,,100,,100,,100,,102.5,,100,,100,,100,,100,,105,,105,,105,,100,,110,,100,,110,,110,,110,,110,,110,,105,,105,,110,,110,,105,,110,,110,,107.5,,90,,90,,90,,100,,90,,115,,115,,122.5,,125,,120,,95,,120,,130,,125,,120,,130,,130,,132.5,,135,,130,,135,,130,,132.5,,130,,130,,135,,135,,130,,135,,135,,150,,140,,150,,150,,150,,150,s,150,,160,,167.5,,170,,160,,180,,185,s,170,,187.5,,200,s,200,,190,,220,,205,,200,,220,,230,,220,,220,,221.5,,220,,240,,230,,215,,225,,235,,230,,240,,245,,240,,250,,245,,250,,250,,250,,,250, ,250, ,250,,275,,275,
Pittwater,140,,130,,140,,140,,135,,142.5,,140,,140,,135,,140,,140,,140,,140,,142.5,,140,,145,,150,,145,,145,,150,,-,,-,,160,,160,,165,,165,,170,,170,,175,,167.5,,180,,185,,180,,185,,185,,192.5,,195,,195,,200,,200,,210,,205,,230,,230,,220,,225,,225,,220,,220,,240,,220,,220,,240,,220,,237.5,,240,,240,,232.5,,237.5,,225,,230,,247.5,,232.5,,240,,240,,240,,245,,260,,262.5,,270,,260,,300,,300,,300,,300,,315,,295,,300,,300,,325,,350,,330,,340,,350,,360,,350,,350,,350,,345,,387.5,,370,,370,,360,,370,,380,,405,,420,,400,,410,,400,,400,,410,,400,,445,,425,,,425, ,450, ,450,,450,,430,
Sutherland Shire,125,,125,,125,,125,,125,,125,,125,,125,,125,,130,,125,,130,,125,,130,,130,,125,,130,,130,,130,,130,,135,,135,,135,,135,,137.5,,140,,145,,145,,150,,145,,150,,145,,150,,150,,155,,155,,160,,165,,160,,170,,165,,170,,175,,175,,175,,175,,180,,180,,177.5,,190,,175,,180,,180,,180,,180,,190,,190,,185,,190,,195,,190,,190,,192.5,,190,,200,,200,,200,,200,,210,,215,,220,,230,,230,,250,,250,,254.5,,260,,260,,260,,275,,280,,280,,290,,290,,300,,300,,300,,310,,320,,320,,320,,320,,322.5,,330,,320,,340,,350,,350,,350,,350,,360,,350,,365,,367.5,,360,,,370, ,370, ,380,,390,,400,
Warringah,140,,145,,145,,140,,145,,140,,140,,140,,145,,140,,145,,145,,145,,147.5,,145,,145,,150,,150,,150,,155,,155,,155,,160,,160,,165,,165,,170,,170,,175,,175,,180,,180,,185,,185,,185,,190,,195,,205,,210,,200,,220,,220,,220,,220,,230,,235,,230,,240,,240,,240,,230,,230,,250,,245,,240,,240,,250,,255,,250,,250,,265,,250,,260,,260,,270,,265,,270,,275,,285,,295,,300,,310,,325,,330,,330,,335,,330,,340,,340,,350,,350,,350,,360,,387.5,,370,,385,,382.5,,395,,395,,400,,387.5,,395,,400,,400,,400,,410,,425,,425,,420,,440,,425,,430,,435,,450,,450,,,450, ,460, ,470,,480,,495,
Wollondilly,-,,95,s,95,s,-,,-,,-,,-,,106,s,-,,105,s,-,,-,,110,s,-,,-,,-,,95,s,-,,110,s,-,,-,,-,,-,,105,s,-,,-,,105,s,-,,-,,-,,110,s,110,s,110,s,-,,110,s,-,,-,,-,,-,,-,,-,,110,s,-,,-,,-,,105,s,125,s,-,,-,,-,,132.5,s,-,,-,,-,,-,,142.5,s,-,,-,,-,,-,,-,,-,,-,,-,,150,s,-,,-,,-,,-,,-,,165,s,-,,165,s,-,,170,s,170,s,-,,175,s,-,,-,,185,s,-,,200,s,177.5,s,-,,200,s,-,,-,,-,,242.5,s,-,,-,,195,s,-,,-,,-,,-,,-,,-,,-,,245,s,-,,-,,270,s,-,,,260,s,-, ,-,,220.41,s,280,s
Wyong,90,,90,,87.5,,85,,90,,85,,95,,90,,90,,85,,90,,90,,90,,90,,90,,90,,90,,95,,90,,95,,95,,95,,100,,100,,100,,95,,100,,95,,95,,95,,100,,100,,95,,100,,100,,100,,100,,100,,110,,110,,110,,112,,110,,110,,115,,110,,115,,115,,115,,120,,120,,115,,116,,120,,120,,132.5,,125,,130,,125,,125,,125,,135,,130,,130,,130,,140,,140,,140,,140,,130,,150,,150,,148,,150,,155,,170,,155,,160,,160,,167.5,,170,,190,,180,,180,,175,,180,,195,,185,,185.575,,200,,200,,190,,195,,205,,200,,200,,200,,212.5,,220,,210,,220,,225,,235,,240,,250,,,245, ,240, ,250,,250,,250,
Rest of GMR,85,,85,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,95,,95,,90,,95,,95,,95,,95,,95,,95,,95,,95,,95,,95,,95,,100,,100,,100,,100,,100,,100,,105,,105,,110,,105,,110,,110,,110,,115,,115,,115,,120,,120,,120,,125,,130,,130,,130,,135,,130,,140,,135,,135,,140,,140,,150,,150,,150,,150,,150,,160,,160,,160,,165,,170,,170,,170,,175,,180,,180,,185,,180,,192.5,,200,,195,,190,,200,,210,,210,,215,,210.5,,220,,220,,220,,210,,220,,230,,240,,230,,230,,245,,240,,,240, ,240, ,245,,245,,260,
Cessnock,80,,80,,85,,85,s,85,,90,,90,,85,,90,,85,,90,,87.5,,90,,85,s,85,,85,,85,,85,,80,,75,,87.5,s,85,s,80,s,80,,85,s,80,,80,,85,,85,s,80,,85,,82.5,,87.5,,82.5,,85,,85,,85,,80,,85,,85,,85,,85,,90,,85,,85,,90,,85,s,85,,90,,90,,90,,100,,100,s,102.5,,100,,100,,110,,110,s,120,s,120,,110,,110,,120,s,115,s,120,s,105,,117.5,s,130,s,125,s,127.5,s,130,s,130,s,130,s,130,s,140,s,147.5,s,160,s,140,s,140,s,150,s,160,s,150,s,150,,157.5,,170,s,175,s,182.5,,182.5,,192.5,s,170,s,170,s,180,s,190,s,172.5,,170,s,180,s,177.5,s,185,,180,s,190,s,182.5,s,187.5,s,190,,195,s,187.5,s,,187.5, ,190,s,197.5,s,200,s,200,
Kiama,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,100,s,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,.,,-,,-,,145,s,140,s,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,-, ,-, ,-,,-,,-,
Lake Macquarie,85,,90,,90,,90,,90,,90,,90,,90,,94,,95,,90,,95,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,90,,93.5,,95,,95,,95,,95,,95,,95,,95,,95,,96,,95,,100,,100,,100,,100,,105,,100,,100,,105,,105,,110,,100,,105,,110,,110,,110,,115,,115,,115,,123,,125,,120,,130,,125,,125,,130,,140,,130,,145,,140,,130,,145,,140,,141.5,,148,,145,,142.5,,150,,150,,150,,157.5,,168,,172.5,,163.4,,177.5,,170,,170,,170,,190,,180,,180,,197.5,,175,,195,,200,,210,,220,,210,,220,,217.5,,215,,220,,220,,220,,225,,230,,210,,230,,225,,240,,,230, ,245, ,230,,250,,245,
Maitland,80,,80,,85,,85,,90,,90,,90,,95,,90,,90,,90,,95,,90,,85,,90,,85,,85,,85,,90,,85,,90,,90,,87.5,,90,,85,,87.5,,90,,90,,90,,85,,90,,90,,90,,90,,90,,90,,90,,90,,95,,95,,90,,95,,90,,95,,95,,95,,95,,95,,100,,95,,100,,100,,100,,110,,105,,115,,110,,115,,115,,122.5,,118,,120,,120,,117.5,s,120,,120,s,130,,124,,130,,135,,130,,140,,136.1,,135,,140,,145,,150,,150,,155,,155,,155,,160,,170,,170,s,170,,175,s,180,,172.5,,170,,170,,185,,200,,185,,185,,185,,190,,185,,185,,190,s,180,s,197.5,,180,s,180,,190,,190,,,190, ,188,s,200,,200,,200,
Newcastle,90,,90,,90,,95,,95,,95,,95,,95,,95,,95,,95,,90,,90,,95,,95,,90,,90,,90,,90,,90,,93,,95,,95,,90,,95,,95,,95,,95,,95,,95,,95,,95,,95,,100,,98,,100,,95,,100,,100,,100,,100,,103,,105,,105,,105,,105,,110,,105,,110,,110,,115,,115,,115,,115,,120,,120,,125,,125,,130,,135,,135,,140,,135,,140,,140,,145,,150,,147.5,,150,,160,,160,,160,,160,,170,,175,,170,,170,,180,,180,,170,,180,,190,,193,,190,,175,,190,,210,,200,,180,,207.5,,238,,220.5,,220,,225,,212.5,,230,,220,,215,,220,,250,,240,,247.5,,230,,250,,230,,,240, ,240, ,250,,230,,270,
Port Stephens,82.5,s,80,s,80,s,80,s,90,s,80,s,80,,90,s,85,,87.5,s,85,s,85,,86.5,,86.5,,90,s,82.5,s,90,s,85,s,85,,85,,85,,85,s,90,,85,,90,s,90,,85,s,87.5,s,90,,90,s,92.5,,90,s,90,,100,s,90,,90,s,95,s,95,,95,,97.5,s,100,s,100,s,105,,100,s,105,,110,s,105,s,105,s,110,,110,,117.5,,122.5,s,125,s,120,s,115,s,130,s,115,s,130,s,130,s,130,s,130,s,130,s,135,s,145,,130,s,150,s,140,s,140,s,132.5,s,150,s,150,s,155,s,150,s,175,s,150,s,175,s,150,s,170,s,170,s,180,s,175,s,167.5,s,190,s,190,s,165,s,192.5,s,180,s,190,s,180,s,192.5,s,-,,195,s,185,s,200,s,195,s,185,s,200,s,197.5,s,207.5,s,197.5,s,215,s,220,s,202.5,s,230,s,220,s,,230,s,220,s,235,s,230,s,220,s
Shellharbour,-,,90,s,85,s,95,s,90,s,92.5,s,90,s,90,s,95,s,90,s,95,s,85,s,95,s,90,s,90,s,87.5,s,-,,100,s,92.5,s,95,s,100,,96.5,s,95,s,95,s,96.5,s,100,s,100,s,100,s,95,s,100,s,100,s,100,s,102.5,s,100,s,105,s,105,s,100,s,102.5,s,105,s,110,s,100,s,110,s,110,s,110,s,115,s,115,s,117.5,s,120,s,117.5,s,120,s,110,s,117.5,s,125,s,125,s,120,s,130,s,132.5,s,125,s,130,s,130,s,120,s,135,s,-,,125,s,130,s,150,s,120,s,140,s,150,s,-,,150,s,150,s,170,s,150,s,147.5,s,160,s,160,s,170,s,155,s,170,s,165,s,185,s,180,s,190,s,-,,225,s,215,s,-,,195,s,250,s,197.5,s,215,s,200,s,-,,-,,-,,-,,225,s,-,,-,,-,,-,,277.5,s,250,s,-,,,260,s,-, ,230,s,-,,-,
Wollongong,80,,80,,80,,85,,85,,85,,85,,85,,85,,90,,90,,90,,90,,85,,90,,85,,90,,90,,90,,90,,90,,90,,95,,95,,95,,95,,95,,95,,95,,95,,95,,95,,95,,95,,100,,95,,100,,95,,100,,100,,100,,100,,110,,100,,105,,110,,110,,110,,118,,110,,115,,120,,120,,120,,125,,120,,125,,130,,130,,130,,140,,130,,130,,135,,135,,135,,135,,135,,150,,140,,150,,150,,150,,160,,160,,165,,160,,170,,170,,175,,180,,182.5,,190,,190,,195,,200,,200,,200,,210,,206,,215,,210,,220,,220,,230,,220,,230,,220,,240,,245,,250,,245,,250,,270,,260,,,270, ,260, ,260,,275,,280,
Rest of NSW,70,,75,,75,,75,,75,,75,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,80,,85,,85,,85,,85,,80,,85,,85,,85,,85,,85,,85,,85,,85,,90,,90,,90,,90,,90,,90,,90,,95,,95,,100,,100,,100,,105,,105,,110,,105,,110,,115,,115,,115,,120,,120,,115,,120,,120,,120,,125,,125,,125,,130,,130,,138,,135,,140,,140,,140,,145,,150,,145,,150,,150,,150,,150,,160,,155,,160,,160,,165,,175,,170,,175,,175,,175,,175,,180,,180,,180,,180,,180,,180,,180,,190,,190,,,190, ,190, ,195,,195,,200,
New South Wales,120,,120,,120,,120,,120,,120,,125,,120,,120,,120,,125,,120,,120,,125,,120,,125,,120,,125,,130,,130,,125,,130,,135,,135,,130,,140,,145,,145,,150,,150,,150,,155,,150,,160,,160,,165,,160,,170,,175,,180,,175,,190,,190,,200,,190,,200,,200,,210,,200,,200,,210,,215,,212.5,,210,,220,,225,,220,,230,,230,,240,,235,,240,,250,,250,,250,,250,,260,,260,,260,,275,,280,,285,,300,,310,,310,,310,,300,,320,,330,,320,,325,,340,,340,,350,,340,,350,,360,,360,,350,,365,,380,,380,,380,,380,,385,,395,,405,,400,,410,,420,,420,,420,,419,,430,,428,,,435, ,450, ,450,,450,,465,
